Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv,X,Y,Z
4600.0,1.0,2531356615.52,7.0,2.143681260513,-2.49144529119,21.8020784752,0.2026354511721,247902456.6801,1.5536107259,0.3507539028485,0.3507540976434,0.0,0,0.438,0.162,0.4
4600.0,0.9999988353239,2530979984.75,7.046724920961,2.161016522828,-2.462374861928,21.8020784204,0.2290084418287,247864798.4936,1.666719811514,0.4121968282685,0.4121970420598,271.0103711666,1,0.437966,0.161995,0.400039
4600.0,0.9999977496167,2530648532.627,7.086189187947,2.180300770341,-2.441207089677,21.80207836667,0.2556995010423,247902760.5164,1.706352217448,0.5093070434769,0.509307265711,554.7149615268,1,0.437966,0.161995,0.400039
4600.0,0.9999965103797,2530289044.305,7.127267360079,2.199135943826,-2.418227095491,21.80207829176,0.2865582669273,247905620.6472,1.767216199944,0.4144937206794,0.4144939061576,917.0780727147,1,0.437966,0.161995,0.400039
4600.0,0.9999949777473,2529869794.779,7.17325373621,2.216627828037,-2.389951971483,21.80207819525,0.3240469185252,247905205.2245,1.891054504697,0.3518027166846,0.3518028739408,1421.915424032,1,0.437966,0.161995,0.400039
4600.0,0.9999931223746,2529396318.267,7.22314117455,2.233046066061,-2.357531348051,21.80207807067,0.3690243239181,247883342.8281,2.07666436778,0.3191833770288,0.3191835146368,2115.895810597,1,0.437966,0.161995,0.400039
4600.0,0.9999909758359,2528888601.4,7.274544303909,2.249035440146,-2.323588162345,21.80207792156,0.4215637377955,247882702.7961,2.304734912328,0.3038868208307,0.3038869441117,3032.104781228,1,0.437966,0.161995,0.400039
4600.0,0.9999885009012,2528347749.108,7.327165597332,2.264675098451,-2.288444767415,21.80207774343,0.4828920630709,247882713.9108,2.580306867705,0.2908603955586,0.2908605060215,4241.116290815,1,0.437966,0.161995,0.400039
4600.0,0.999985647886,2527773182.472,7.380882945473,2.279996569355,-2.252217533681,21.8020775307,0.5545756610536,247872092.1609,2.912155675607,0.2862343589136,0.286234459274,5840.455199934,1,0.437966,0.161995,0.400039
4600.0,0.9999824570367,2527181155.676,7.434053638229,2.2954460819,-2.216796432244,21.80207729094,0.637165827799,247872671.3079,3.280046845518,0.2947740862335,0.2947741805684,7895.909757281,1,0.437966,0.161995,0.400039
4600.0,0.9999789133699,2526574137.016,7.486398239471,2.311099247709,-2.18242576458,21.80207701497,0.7323340181559,247872474.4042,3.681882967261,0.3036475747368,0.303647663539,10520.05135174,1,0.437966,0.161995,0.400039
4600.0,0.9999749924955,2525952545.529,7.537841530726,2.32697617195,-2.149089246832,21.80207669814,0.8422919616245,247874202.9171,4.118702353257,0.3119876496965,0.3119877332609,13859.57061207,1,0.437966,0.161995,0.400039
4600.0,0.9999706155089,2525309339.649,7.588926154465,2.342927886025,-2.116086209915,21.80207633002,0.9704394798529,247873051.3515,4.608350557754,0.3133691288843,0.3133692066354,18152.92333529,1,0.437966,0.161995,0.400039
4600.0,0.9999657241888,2524642680.986,7.639746443136,2.358927883781,-2.083222787731,21.80207590366,1.12046885613,247874459.2361,5.161772236958,0.3152504518774,0.3152505242641,23689.23645629,1,0.437966,0.161995,0.400039
4600.0,0.9999602386243,2523949290.799,7.69050492812,2.374919914074,-2.050176870662,21.80207540765,1.297016245815,247874246.3189,5.796111265817,0.3150849323356,0.3150849996248,30870.97075553,1,0.437966,0.161995,0.400039
4600.0,0.9999540533154,2523224693.726,7.741469972317,2.390829328738,-2.01672563643,21.80207482648,1.505773617596,247874417.1611,6.535524881225,0.3090987411461,0.3090988025999,40263.87456267,1,0.437966,0.161995,0.400039
4600.0,0.9999470285796,2522462923.084,7.792971096695,2.406564041221,-1.982633723116,21.80207414186,1.753616396673,247873994.2846,7.413444268953,0.3023045793959,0.3023046352177,52675.95014728,1,0.437966,0.161995,0.400039
4600.0,0.9999390495405,2521662957.034,7.844961824874,2.422135191195,-1.948065409306,21.80207333599,2.048030429188,247873669.3606,8.455331171638,0.2968785003883,0.2968785509711,69129.25090549,1,0.437966,0.161995,0.40004
4600.0,0.9999299936933,2520824221.662,7.897354826399,2.437565039122,-1.913235576263,21.80207238767,2.397516065799,247874569.7931,9.687960024066,0.2918081568791,0.2918082027059,90979.79087634,1,0.437966,0.161995,0.40004
4600.0,0.9999197028065,2519944161.885,7.950172548752,2.452845191649,-1.878223058157,21.80207127042,2.811772257937,247873736.7384,11.14683104098,0.2872486870992,0.2872487285526,120096.8065161,1,0.437966,0.161995,0.40004
4600.0,0.9999080218875,2519021976.104,8.003314844049,2.46800102696,-1.84320051975,21.80206995688,3.301165794055,247874884.1778,12.86356445435,0.2826555783557,0.282655615782,158910.0650797,1,0.437966,0.161995,0.40004
4600.0,0.9998947421314,2518054086.382,8.05682932373,2.483016558647,-1.808141334142,21.80206840624,3.876947277652,247871627.4605,14.88128574128,0.2801272382381,0.2801272722018,210769.190057,1,0.437966,0.161995,0.40004
4600.0,0.9998797312971,2517043763.066,8.110387518653,2.497980789419,-1.773347779942,21.80206659142,4.549800558767,247871736.8196,17.21269594926,0.2786518107541,0.2786518417247,279648.0761361,1,0.437966,0.161995,0.40004
4600.0,0.999862762776,2515988489.593,8.163990664815,2.512890820809,-1.738734774899,21.80206447042,5.330746903649,247872013.5996,19.88899647594,0.2775050560362,0.2775050843993,371032.6302216,1,0.437966,0.161995,0.40004
4600.0,0.9998436076447,2514887275.571,8.217567617022,2.527764112135,-1.704302128062,21.80206199081,6.229853118783,247871030.9666,22.92937633692,0.2783935065283,0.2783935326472,491860.0103066,1,0.437966,0.161995,0.40004
4600.0,0.9998220407962,2513740571.432,8.270992801422,2.542633695219,-1.670101813463,21.80205910158,7.255615290959,247871374.4543,26.33552698038,0.277782143132,0.2777821672615,650723.9715933,1,0.437966,0.161995,0.40004
4600.0,0.9997977576532,2512545938.665,8.324289737121,2.557490744725,-1.635997406042,21.80205573796,8.415286136897,247870382.4646,30.11706007746,0.2805268024749,0.2805268248709,858819.9218013,1,0.437965,0.161995,0.40004
4600.0,0.9997705133741,2511305296.678,8.37729882562,2.572378482465,-1.602150567857,21.80205183404,9.713127711284,247870535.3792,34.24276733866,0.2811355765174,0.2811355973495,1129218.800378,1,0.437965,0.161995,0.40004
4600.0,0.9997399359809,2510015673.893,8.430075861982,2.587279015697,-1.568536266919,21.80204730771,11.15221411634,247871924.8682,38.70388093811,0.2825066475847,0.2825066668438,1478933.203334,1,0.437965,0.161995,0.40004
4600.0,0.9997055254823,2508670755.981,8.482785465678,2.602142708352,-1.5351588533,21.80204203566,12.73504342384,247872002.5308,43.51694063294,0.2812455109861,0.2812455287109,1930035.820303,1,0.437965,0.161995,0.40004
4600.0,0.9996666962982,2507263541.013,8.535574613393,2.616923820797,-1.502020806732,21.80203587233,14.46359681035,247870636.8539,48.70904732154,0.2798355523292,0.2798355685714,2510355.413766,1,0.437965,0.161995,0.40004
4600.0,0.9996230532813,2505795473.847,8.588243061049,2.631675594949,-1.469457843983,21.80202871435,16.33478649895,247872917.268,54.21506026242,0.278861993267,0.2788620080724,3249890.693548,1,0.437965,0.161994,0.40004
4600.0,0.9995737889472,2504255449.826,8.64102274948,2.646326002399,-1.4373242626,21.80202035174,18.35044066393,247873829.538,60.0957943376,0.2758156725956,0.2758156860484,4191269.824635,1,0.437965,0.161994,0.400041
4600.0,0.9995180730444,2502635103.785,8.694002166776,2.660843083058,-1.405655347945,21.8020105507,20.51159262171,247873254.7432,66.3930265224,0.2724811226124,0.2724811348073,5385760.994272,1,0.437965,0.161994,0.400041
4600.0,0.9994550919959,2500928998.83,8.747140478257,2.675231460348,-1.374502529474,21.80199910102,22.8170928124,247872737.5055,73.11123362307,0.2693381135423,0.269338124613,6893327.575975,1,0.437965,0.161994,0.400041
4600.0,0.9993840470564,2499133832.953,8.800321680458,2.689517406249,-1.34397418558,21.80198573136,25.26296126963,247874242.447,80.21636544891,0.2672598641293,0.2672598742335,8783171.380648,1,0.437964,0.161994,0.400041
4600.0,0.9993037979363,2497239968.146,8.853615522455,2.703672251506,-1.313876763585,21.80197013192,27.84982721631,247869517.723,87.75966676402,0.2659643500086,0.265964359267,11144915.20469,1,0.437964,0.161994,0.400041
4600.0,0.9992137884601,2495253218.007,8.906663269923,2.717794437211,-1.284470003464,21.80195205796,30.56243791518,247873260.2726,95.55215911925,0.264596438912,0.2645964474529,14062860.84938,1,0.437964,0.161994,0.400042
