# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.68105070332214e+25 kg
# Mean radius       s0 = 2.538868e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225522
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000596.572114
# J2  =  3510.364519
# J4  =   -37.350776
# J6  =     0.681726
# J8  =    -0.018161
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   101  2.4763e+07  1.7291e+02  9.2804e+08  
   102  2.4756e+07  1.7292e+02  9.3790e+08  
   103  2.4750e+07  1.7294e+02  9.4776e+08  
   104  2.4744e+07  1.7295e+02  9.5762e+08  
   105  2.4738e+07  1.7297e+02  9.6749e+08  
   106  2.4732e+07  1.7298e+02  9.7737e+08  
   107  2.4725e+07  1.7300e+02  9.8725e+08  
   108  2.4719e+07  1.7301e+02  9.9714e+08  
   109  2.4713e+07  1.7302e+02  1.0070e+09  
   110  2.4707e+07  1.7304e+02  1.0169e+09  
   111  2.4701e+07  1.7305e+02  1.0268e+09  
   112  2.4694e+07  1.7307e+02  1.0367e+09  
   113  2.4688e+07  1.7308e+02  1.0466e+09  
   114  2.4682e+07  1.7310e+02  1.0566e+09  
   115  2.4676e+07  1.7311e+02  1.0665e+09  
   116  2.4670e+07  1.7313e+02  1.0764e+09  
   117  2.4663e+07  1.7314e+02  1.0863e+09  
   118  2.4657e+07  1.7316e+02  1.0963e+09  
   119  2.4651e+07  1.7317e+02  1.1062e+09  
   120  2.4645e+07  1.7319e+02  1.1162e+09  
   121  2.4639e+07  1.7320e+02  1.1261e+09  
   122  2.4632e+07  1.7322e+02  1.1361e+09  
   123  2.4626e+07  1.7323e+02  1.1460e+09  
   124  2.4620e+07  1.7325e+02  1.1560e+09  
   125  2.4614e+07  1.7326e+02  1.1660e+09  
   126  2.4608e+07  1.7328e+02  1.1759e+09  
   127  2.4601e+07  1.7329e+02  1.1859e+09  
   128  2.4595e+07  1.7331e+02  1.1959e+09  
   129  2.4589e+07  1.7333e+02  1.2059e+09  
   130  2.4583e+07  1.7334e+02  1.2159e+09  
   131  2.4577e+07  1.7336e+02  1.2259e+09  
   132  2.4570e+07  1.7337e+02  1.2359e+09  
   133  2.4564e+07  1.7339e+02  1.2459e+09  
   134  2.4558e+07  1.7340e+02  1.2559e+09  
   135  2.4552e+07  1.7342e+02  1.2660e+09  
   136  2.4546e+07  1.7343e+02  1.2760e+09  
   137  2.4539e+07  1.7345e+02  1.2860e+09  
   138  2.4533e+07  1.7346e+02  1.2961e+09  
   139  2.4527e+07  1.7348e+02  1.3061e+09  
   140  2.4521e+07  1.7350e+02  1.3162e+09  
   141  2.4515e+07  1.7351e+02  1.3262e+09  
   142  2.4509e+07  1.7353e+02  1.3363e+09  
   143  2.4502e+07  1.7354e+02  1.3463e+09  
   144  2.4496e+07  1.7356e+02  1.3564e+09  
   145  2.4490e+07  1.7357e+02  1.3665e+09  
   146  2.4484e+07  1.7359e+02  1.3766e+09  
   147  2.4478e+07  1.7361e+02  1.3866e+09  
   148  2.4471e+07  1.7362e+02  1.3967e+09  
   149  2.4465e+07  1.7364e+02  1.4068e+09  
   150  2.4459e+07  1.7365e+02  1.4169e+09  
   151  2.4453e+07  1.7367e+02  1.4270e+09  
   152  2.4447e+07  1.7368e+02  1.4371e+09  
   153  2.4440e+07  1.7370e+02  1.4473e+09  
   154  2.4434e+07  1.7372e+02  1.4574e+09  
   155  2.4428e+07  1.7373e+02  1.4675e+09  
   156  2.4422e+07  1.7375e+02  1.4776e+09  
   157  2.4416e+07  1.7376e+02  1.4878e+09  
   158  2.4409e+07  1.7378e+02  1.4979e+09  
   159  2.4403e+07  1.7380e+02  1.5081e+09  
   160  2.4397e+07  1.7381e+02  1.5182e+09  
   161  2.4391e+07  1.7383e+02  1.5284e+09  
   162  2.4385e+07  1.7385e+02  1.5385e+09  
   163  2.4378e+07  1.7386e+02  1.5487e+09  
   164  2.4372e+07  1.7388e+02  1.5589e+09  
   165  2.4366e+07  1.7389e+02  1.5691e+09  
   166  2.4360e+07  1.7391e+02  1.5792e+09  
   167  2.4354e+07  1.7393e+02  1.5894e+09  
   168  2.4347e+07  1.7394e+02  1.5996e+09  
   169  2.4341e+07  1.7396e+02  1.6098e+09  
   170  2.4335e+07  1.7398e+02  1.6200e+09  
   171  2.4329e+07  1.7399e+02  1.6302e+09  
   172  2.4323e+07  1.7401e+02  1.6405e+09  
   173  2.4316e+07  1.7403e+02  1.6507e+09  
   174  2.4310e+07  1.7404e+02  1.6609e+09  
   175  2.4304e+07  1.7406e+02  1.6711e+09  
   176  2.4298e+07  1.7408e+02  1.6814e+09  
   177  2.4292e+07  1.7409e+02  1.6916e+09  
   178  2.4285e+07  1.7411e+02  1.7019e+09  
   179  2.4279e+07  1.7413e+02  1.7121e+09  
   180  2.4273e+07  1.7414e+02  1.7224e+09  
   181  2.4267e+07  1.7416e+02  1.7326e+09  
   182  2.4261e+07  1.7418e+02  1.7429e+09  
   183  2.4254e+07  1.7419e+02  1.7532e+09  
   184  2.4248e+07  1.7421e+02  1.7635e+09  
   185  2.4242e+07  1.7423e+02  1.7738e+09  
   186  2.4236e+07  1.7424e+02  1.7841e+09  
   187  2.4230e+07  1.7426e+02  1.7943e+09  
   188  2.4223e+07  1.7428e+02  1.8047e+09  
   189  2.4217e+07  1.7429e+02  1.8150e+09  
   190  2.4211e+07  1.7431e+02  1.8253e+09  
   191  2.4205e+07  1.7433e+02  1.8356e+09  
   192  2.4199e+07  1.7435e+02  1.8459e+09  
   193  2.4192e+07  1.7436e+02  1.8562e+09  
   194  2.4186e+07  1.7438e+02  1.8666e+09  
   195  2.4180e+07  1.7440e+02  1.8769e+09  
   196  2.4174e+07  1.7442e+02  1.8873e+09  
   197  2.4168e+07  1.7443e+02  1.8976e+09  
   198  2.4161e+07  1.7445e+02  1.9080e+09  
   199  2.4155e+07  1.7447e+02  1.9183e+09  
   200  2.4149e+07  1.7448e+02  1.9287e+09  
   201  2.4143e+07  1.7450e+02  1.9391e+09  
   202  2.4137e+07  1.7452e+02  1.9495e+09  
   203  2.4130e+07  1.7454e+02  1.9598e+09  
   204  2.4124e+07  1.7455e+02  1.9702e+09  
   205  2.4118e+07  1.7457e+02  1.9806e+09  
   206  2.4112e+07  1.7459e+02  1.9910e+09  
   207  2.4106e+07  1.7461e+02  2.0014e+09  
   208  2.4099e+07  1.7462e+02  2.0119e+09  
   209  2.4093e+07  1.7464e+02  2.0223e+09  
   210  2.4087e+07  1.7466e+02  2.0327e+09  
   211  2.4081e+07  1.7468e+02  2.0431e+09  
   212  2.4075e+07  1.7470e+02  2.0536e+09  
   213  2.4068e+07  1.7471e+02  2.0640e+09  
   214  2.4062e+07  1.7473e+02  2.0744e+09  
   215  2.4056e+07  1.7475e+02  2.0849e+09  
   216  2.4050e+07  1.7477e+02  2.0954e+09  
   217  2.4044e+07  1.7479e+02  2.1058e+09  
   218  2.4037e+07  1.7480e+02  2.1163e+09  
   219  2.4031e+07  1.7482e+02  2.1268e+09  
   220  2.4025e+07  1.7484e+02  2.1372e+09  
   221  2.4019e+07  1.7486e+02  2.1477e+09  
   222  2.4013e+07  1.7488e+02  2.1582e+09  
   223  2.4006e+07  1.7489e+02  2.1687e+09  
   224  2.4000e+07  1.7491e+02  2.1792e+09  
   225  2.3994e+07  1.7493e+02  2.1897e+09  
   226  2.3988e+07  1.7495e+02  2.2002e+09  
   227  2.3982e+07  1.7497e+02  2.2108e+09  
   228  2.3975e+07  1.7499e+02  2.2213e+09  
   229  2.3969e+07  1.7500e+02  2.2318e+09  
   230  2.3963e+07  1.7502e+02  2.2423e+09  
   231  2.3957e+07  1.7504e+02  2.2529e+09  
   232  2.3951e+07  1.7506e+02  2.2634e+09  
   233  2.3944e+07  1.7508e+02  2.2740e+09  
   234  2.3938e+07  1.7510e+02  2.2846e+09  
   235  2.3932e+07  1.7512e+02  2.2951e+09  
   236  2.3926e+07  1.7513e+02  2.3057e+09  
   237  2.3920e+07  1.7515e+02  2.3163e+09  
   238  2.3913e+07  1.7517e+02  2.3268e+09  
   239  2.3907e+07  1.7519e+02  2.3374e+09  
   240  2.3901e+07  1.7521e+02  2.3480e+09  
   241  2.3895e+07  1.7523e+02  2.3586e+09  
   242  2.3889e+07  1.7525e+02  2.3692e+09  
   243  2.3882e+07  1.7527e+02  2.3798e+09  
   244  2.3876e+07  1.7529e+02  2.3905e+09  
   245  2.3870e+07  1.7530e+02  2.4011e+09  
   246  2.3864e+07  1.7532e+02  2.4117e+09  
   247  2.3858e+07  1.7534e+02  2.4224e+09  
   248  2.3851e+07  1.7536e+02  2.4330e+09  
   249  2.3845e+07  1.7538e+02  2.4436e+09  
   250  2.3839e+07  1.7540e+02  2.4543e+09  
   251  2.3833e+07  1.7542e+02  2.4649e+09  
   252  2.3827e+07  1.7544e+02  2.4756e+09  
   253  2.3820e+07  1.7546e+02  2.4863e+09  
   254  2.3814e+07  1.7548e+02  2.4970e+09  
   255  2.3808e+07  1.7550e+02  2.5076e+09  
   256  2.3802e+07  1.7552e+02  2.5183e+09  
   257  2.3796e+07  1.7554e+02  2.5290e+09  
   258  2.3789e+07  1.7556e+02  2.5397e+09  
   259  2.3783e+07  1.7557e+02  2.5504e+09  
   260  2.3777e+07  1.7559e+02  2.5611e+09  
   261  2.3771e+07  1.7561e+02  2.5719e+09  
   262  2.3765e+07  1.7563e+02  2.5826e+09  
   263  2.3758e+07  1.7565e+02  2.5933e+09  
   264  2.3752e+07  1.7567e+02  2.6040e+09  
   265  2.3746e+07  1.7569e+02  2.6148e+09  
   266  2.3740e+07  1.7571e+02  2.6255e+09  
   267  2.3734e+07  1.7573e+02  2.6363e+09  
   268  2.3728e+07  1.7575e+02  2.6470e+09  
   269  2.3721e+07  1.7577e+02  2.6578e+09  
   270  2.3715e+07  1.7579e+02  2.6686e+09  
   271  2.3709e+07  1.7581e+02  2.6794e+09  
   272  2.3703e+07  1.7583e+02  2.6901e+09  
   273  2.3697e+07  1.7585e+02  2.7009e+09  
   274  2.3690e+07  1.7587e+02  2.7117e+09  
   275  2.3684e+07  1.7589e+02  2.7225e+09  
   276  2.3678e+07  1.7591e+02  2.7333e+09  
   277  2.3672e+07  1.7593e+02  2.7441e+09  
   278  2.3666e+07  1.7595e+02  2.7550e+09  
   279  2.3659e+07  1.7597e+02  2.7658e+09  
   280  2.3653e+07  1.7600e+02  2.7766e+09  
   281  2.3647e+07  1.7602e+02  2.7875e+09  
   282  2.3641e+07  1.7604e+02  2.7983e+09  
   283  2.3635e+07  1.7606e+02  2.8091e+09  
   284  2.3628e+07  1.7608e+02  2.8200e+09  
   285  2.3622e+07  1.7610e+02  2.8309e+09  
   286  2.3616e+07  1.7612e+02  2.8417e+09  
   287  2.3610e+07  1.7614e+02  2.8526e+09  
   288  2.3604e+07  1.7616e+02  2.8635e+09  
   289  2.3597e+07  1.7618e+02  2.8744e+09  
   290  2.3591e+07  1.7620e+02  2.8853e+09  
   291  2.3585e+07  1.7622e+02  2.8962e+09  
   292  2.3579e+07  1.7624e+02  2.9071e+09  
   293  2.3573e+07  1.7627e+02  2.9180e+09  
   294  2.3566e+07  1.7629e+02  2.9289e+09  
   295  2.3560e+07  1.7631e+02  2.9398e+09  
   296  2.3554e+07  1.7633e+02  2.9508e+09  
   297  2.3548e+07  1.7635e+02  2.9617e+09  
   298  2.3542e+07  1.7637e+02  2.9726e+09  
   299  2.3535e+07  1.7639e+02  2.9836e+09  
   300  2.3529e+07  1.7641e+02  2.9945e+09  
   301  2.3523e+07  1.7644e+02  3.0055e+09  
   302  2.3517e+07  1.7646e+02  3.0165e+09  
   303  2.3511e+07  1.7648e+02  3.0274e+09  
   304  2.3504e+07  1.7650e+02  3.0384e+09  
   305  2.3498e+07  1.7652e+02  3.0494e+09  
   306  2.3492e+07  1.7654e+02  3.0604e+09  
   307  2.3486e+07  1.7657e+02  3.0714e+09  
   308  2.3480e+07  1.7659e+02  3.0824e+09  
   309  2.3473e+07  1.7661e+02  3.0934e+09  
   310  2.3467e+07  1.7663e+02  3.1044e+09  
   311  2.3461e+07  1.7665e+02  3.1154e+09  
   312  2.3455e+07  1.7667e+02  3.1265e+09  
   313  2.3449e+07  1.7670e+02  3.1375e+09  
   314  2.3442e+07  1.7672e+02  3.1486e+09  
   315  2.3436e+07  1.7674e+02  3.1596e+09  
   316  2.3430e+07  1.7676e+02  3.1707e+09  
   317  2.3424e+07  1.7678e+02  3.1817e+09  
   318  2.3418e+07  1.7681e+02  3.1928e+09  
   319  2.3411e+07  1.7683e+02  3.2039e+09  
   320  2.3405e+07  1.7685e+02  3.2149e+09  
   321  2.3399e+07  1.7687e+02  3.2260e+09  
   322  2.3393e+07  1.7690e+02  3.2371e+09  
   323  2.3387e+07  1.7692e+02  3.2482e+09  
   324  2.3380e+07  1.7694e+02  3.2593e+09  
   325  2.3374e+07  1.7696e+02  3.2704e+09  
   326  2.3368e+07  1.7699e+02  3.2816e+09  
   327  2.3362e+07  1.7701e+02  3.2927e+09  
   328  2.3356e+07  1.7703e+02  3.3038e+09  
   329  2.3349e+07  1.7706e+02  3.3150e+09  
   330  2.3343e+07  1.7708e+02  3.3261e+09  
   331  2.3337e+07  1.7710e+02  3.3373e+09  
   332  2.3331e+07  1.7712e+02  3.3484e+09  
   333  2.3325e+07  1.7715e+02  3.3596e+09  
   334  2.3318e+07  1.7717e+02  3.3708e+09  
   335  2.3312e+07  1.7719e+02  3.3819e+09  
   336  2.3306e+07  1.7722e+02  3.3931e+09  
   337  2.3300e+07  1.7724e+02  3.4043e+09  
   338  2.3294e+07  1.7726e+02  3.4155e+09  
   339  2.3287e+07  1.7729e+02  3.4267e+09  
   340  2.3281e+07  1.7731e+02  3.4379e+09  
   341  2.3275e+07  1.7733e+02  3.4491e+09  
   342  2.3269e+07  1.7736e+02  3.4604e+09  
   343  2.3263e+07  1.7738e+02  3.4716e+09  
   344  2.3256e+07  1.7740e+02  3.4828e+09  
   345  2.3250e+07  1.7743e+02  3.4941e+09  
   346  2.3244e+07  1.7745e+02  3.5053e+09  
   347  2.3238e+07  1.7747e+02  3.5166e+09  
   348  2.3232e+07  1.7750e+02  3.5278e+09  
   349  2.3225e+07  1.7752e+02  3.5391e+09  
   350  2.3219e+07  1.7755e+02  3.5504e+09  
   351  2.3213e+07  1.7757e+02  3.5617e+09  
   352  2.3207e+07  1.7759e+02  3.5730e+09  
   353  2.3201e+07  1.7762e+02  3.5843e+09  
   354  2.3194e+07  1.7764e+02  3.5956e+09  
   355  2.3188e+07  1.7767e+02  3.6069e+09  
   356  2.3182e+07  1.7769e+02  3.6182e+09  
   357  2.3176e+07  1.7772e+02  3.6295e+09  
   358  2.3170e+07  1.7774e+02  3.6408e+09  
   359  2.3163e+07  1.7776e+02  3.6522e+09  
   360  2.3157e+07  1.7779e+02  3.6635e+09  
   361  2.3151e+07  1.7781e+02  3.6749e+09  
   362  2.3145e+07  1.7784e+02  3.6862e+09  
   363  2.3139e+07  1.7786e+02  3.6976e+09  
   364  2.3132e+07  1.7789e+02  3.7090e+09  
   365  2.3126e+07  1.7791e+02  3.7203e+09  
   366  2.3120e+07  1.7794e+02  3.7317e+09  
   367  2.3114e+07  1.7796e+02  3.7431e+09  
   368  2.3108e+07  1.7799e+02  3.7545e+09  
   369  2.3101e+07  1.7801e+02  3.7659e+09  
   370  2.3095e+07  1.7804e+02  3.7773e+09  
   371  2.3089e+07  1.7806e+02  3.7888e+09  
   372  2.3083e+07  1.7809e+02  3.8002e+09  
   373  2.3077e+07  1.7811e+02  3.8116e+09  
   374  2.3070e+07  1.7814e+02  3.8231e+09  
   375  2.3064e+07  1.7816e+02  3.8345e+09  
   376  2.3058e+07  1.7819e+02  3.8460e+09  
   377  2.3052e+07  1.7822e+02  3.8574e+09  
   378  2.3046e+07  1.7824e+02  3.8689e+09  
   379  2.3039e+07  1.7827e+02  3.8804e+09  
   380  2.3033e+07  1.7829e+02  3.8918e+09  
   381  2.3027e+07  1.7832e+02  3.9033e+09  
   382  2.3021e+07  1.7834e+02  3.9148e+09  
   383  2.3015e+07  1.7837e+02  3.9263e+09  
   384  2.3008e+07  1.7840e+02  3.9378e+09  
   385  2.3002e+07  1.7842e+02  3.9493e+09  
   386  2.2996e+07  1.7845e+02  3.9609e+09  
   387  2.2990e+07  1.7848e+02  3.9724e+09  
   388  2.2984e+07  1.7850e+02  3.9839e+09  
   389  2.2978e+07  1.7853e+02  3.9955e+09  
   390  2.2971e+07  1.7855e+02  4.0070e+09  
   391  2.2965e+07  1.7858e+02  4.0186e+09  
   392  2.2959e+07  1.7861e+02  4.0302e+09  
   393  2.2953e+07  1.7863e+02  4.0417e+09  
   394  2.2947e+07  1.7866e+02  4.0533e+09  
   395  2.2940e+07  1.7869e+02  4.0649e+09  
   396  2.2934e+07  1.7871e+02  4.0765e+09  
   397  2.2928e+07  1.7874e+02  4.0881e+09  
   398  2.2922e+07  1.7877e+02  4.0997e+09  
   399  2.2916e+07  1.7880e+02  4.1113e+09  
   400  2.2909e+07  1.7882e+02  4.1229e+09  
   401  2.2903e+07  1.7885e+02  4.1346e+09  
   402  2.2897e+07  1.7888e+02  4.1462e+09  
   403  2.2891e+07  1.7890e+02  4.1578e+09  
   404  2.2885e+07  1.7893e+02  4.1695e+09  
   405  2.2878e+07  1.7896e+02  4.1812e+09  
   406  2.2872e+07  1.7899e+02  4.1928e+09  
   407  2.2866e+07  1.7901e+02  4.2045e+09  
   408  2.2860e+07  1.7904e+02  4.2162e+09  
   409  2.2854e+07  1.7907e+02  4.2279e+09  
   410  2.2847e+07  1.7910e+02  4.2396e+09  
   411  2.2841e+07  1.7913e+02  4.2513e+09  
   412  2.2835e+07  1.7915e+02  4.2630e+09  
   413  2.2829e+07  1.7918e+02  4.2747e+09  
   414  2.2823e+07  1.7921e+02  4.2864e+09  
   415  2.2816e+07  1.7924e+02  4.2981e+09  
   416  2.2810e+07  1.7927e+02  4.3099e+09  
   417  2.2804e+07  1.7929e+02  4.3216e+09  
   418  2.2798e+07  1.7932e+02  4.3334e+09  
   419  2.2792e+07  1.7935e+02  4.3451e+09  
   420  2.2785e+07  1.7938e+02  4.3569e+09  
   421  2.2779e+07  1.7941e+02  4.3687e+09  
   422  2.2773e+07  1.7944e+02  4.3805e+09  
   423  2.2767e+07  1.7947e+02  4.3923e+09  
   424  2.2761e+07  1.7949e+02  4.4041e+09  
   425  2.2754e+07  1.7952e+02  4.4159e+09  
   426  2.2748e+07  1.7955e+02  4.4277e+09  
   427  2.2742e+07  1.7958e+02  4.4395e+09  
   428  2.2736e+07  1.7961e+02  4.4513e+09  
   429  2.2730e+07  1.7964e+02  4.4632e+09  
   430  2.2723e+07  1.7967e+02  4.4750e+09  
   431  2.2717e+07  1.7970e+02  4.4868e+09  
   432  2.2711e+07  1.7973e+02  4.4987e+09  
   433  2.2705e+07  1.7976e+02  4.5106e+09  
   434  2.2699e+07  1.7979e+02  4.5224e+09  
   435  2.2692e+07  1.7982e+02  4.5343e+09  
   436  2.2686e+07  1.7985e+02  4.5462e+09  
   437  2.2680e+07  1.7988e+02  4.5581e+09  
   438  2.2674e+07  1.7991e+02  4.5700e+09  
   439  2.2668e+07  1.7994e+02  4.5819e+09  
   440  2.2661e+07  1.7997e+02  4.5938e+09  
   441  2.2655e+07  1.8000e+02  4.6058e+09  
   442  2.2649e+07  1.8003e+02  4.6177e+09  
   443  2.2643e+07  1.8006e+02  4.6296e+09  
   444  2.2637e+07  1.8009e+02  4.6416e+09  
   445  2.2630e+07  1.8012e+02  4.6535e+09  
   446  2.2624e+07  1.8015e+02  4.6655e+09  
   447  2.2618e+07  1.8018e+02  4.6775e+09  
   448  2.2612e+07  1.8021e+02  4.6894e+09  
   449  2.2606e+07  1.8024e+02  4.7014e+09  
   450  2.2599e+07  1.8027e+02  4.7134e+09  
   451  2.2593e+07  1.8031e+02  4.7254e+09  
   452  2.2587e+07  1.8034e+02  4.7374e+09  
   453  2.2581e+07  1.8037e+02  4.7495e+09  
   454  2.2575e+07  1.8040e+02  4.7615e+09  
   455  2.2568e+07  1.8043e+02  4.7735e+09  
   456  2.2562e+07  1.8046e+02  4.7856e+09  
   457  2.2556e+07  1.8049e+02  4.7976e+09  
   458  2.2550e+07  1.8053e+02  4.8097e+09  
   459  2.2544e+07  1.8056e+02  4.8217e+09  
   460  2.2537e+07  1.8059e+02  4.8338e+09  
   461  2.2531e+07  1.8062e+02  4.8459e+09  
   462  2.2525e+07  1.8065e+02  4.8580e+09  
   463  2.2519e+07  1.8069e+02  4.8701e+09  
   464  2.2513e+07  1.8072e+02  4.8822e+09  
   465  2.2506e+07  1.8075e+02  4.8943e+09  
   466  2.2500e+07  1.8078e+02  4.9064e+09  
   467  2.2494e+07  1.8082e+02  4.9185e+09  
   468  2.2488e+07  1.8085e+02  4.9307e+09  
   469  2.2482e+07  1.8088e+02  4.9428e+09  
   470  2.2475e+07  1.8091e+02  4.9550e+09  
   471  2.2469e+07  1.8095e+02  4.9671e+09  
