# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.68105070332214e+25 kg
# Mean radius       s0 = 2.538868e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225522
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000596.572114
# J2  =  3510.364519
# J4  =   -37.350776
# J6  =     0.681726
# J8  =    -0.018161
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5382e+07  2.4428e+01  7.7793e+05  
     2  2.5376e+07  4.6664e+01  2.7223e+06  
     3  2.5370e+07  6.7077e+01  5.8346e+06  
     4  2.5364e+07  8.5669e+01  1.0016e+07  
     5  2.5358e+07  1.0244e+02  1.5168e+07  
     6  2.5351e+07  1.1739e+02  2.1191e+07  
     7  2.5345e+07  1.3053e+02  2.7987e+07  
     8  2.5339e+07  1.4185e+02  3.5456e+07  
     9  2.5333e+07  1.5136e+02  4.3500e+07  
    10  2.5327e+07  1.5905e+02  5.2020e+07  
    11  2.5320e+07  1.6493e+02  6.0915e+07  
    12  2.5314e+07  1.6900e+02  7.0088e+07  
    13  2.5308e+07  1.7127e+02  7.9438e+07  
    14  2.5302e+07  1.7173e+02  8.8867e+07  
    15  2.5296e+07  1.7174e+02  9.8312e+07  
    16  2.5290e+07  1.7175e+02  1.0776e+08  
    17  2.5283e+07  1.7176e+02  1.1722e+08  
    18  2.5277e+07  1.7178e+02  1.2668e+08  
    19  2.5271e+07  1.7179e+02  1.3614e+08  
    20  2.5265e+07  1.7180e+02  1.4561e+08  
    21  2.5259e+07  1.7181e+02  1.5508e+08  
    22  2.5252e+07  1.7183e+02  1.6456e+08  
    23  2.5246e+07  1.7184e+02  1.7404e+08  
    24  2.5240e+07  1.7185e+02  1.8353e+08  
    25  2.5234e+07  1.7187e+02  1.9302e+08  
    26  2.5228e+07  1.7188e+02  2.0251e+08  
    27  2.5221e+07  1.7189e+02  2.1201e+08  
    28  2.5215e+07  1.7190e+02  2.2152e+08  
    29  2.5209e+07  1.7192e+02  2.3103e+08  
    30  2.5203e+07  1.7193e+02  2.4054e+08  
    31  2.5197e+07  1.7194e+02  2.5006e+08  
    32  2.5190e+07  1.7196e+02  2.5958e+08  
    33  2.5184e+07  1.7197e+02  2.6911e+08  
    34  2.5178e+07  1.7198e+02  2.7864e+08  
    35  2.5172e+07  1.7200e+02  2.8818e+08  
    36  2.5166e+07  1.7201e+02  2.9772e+08  
    37  2.5159e+07  1.7202e+02  3.0727e+08  
    38  2.5153e+07  1.7204e+02  3.1682e+08  
    39  2.5147e+07  1.7205e+02  3.2637e+08  
    40  2.5141e+07  1.7206e+02  3.3593e+08  
    41  2.5135e+07  1.7207e+02  3.4550e+08  
    42  2.5128e+07  1.7209e+02  3.5507e+08  
    43  2.5122e+07  1.7210e+02  3.6464e+08  
    44  2.5116e+07  1.7211e+02  3.7422e+08  
    45  2.5110e+07  1.7213e+02  3.8380e+08  
    46  2.5104e+07  1.7214e+02  3.9339e+08  
    47  2.5097e+07  1.7215e+02  4.0298e+08  
    48  2.5091e+07  1.7217e+02  4.1258e+08  
    49  2.5085e+07  1.7218e+02  4.2218e+08  
    50  2.5079e+07  1.7219e+02  4.3179e+08  
    51  2.5073e+07  1.7221e+02  4.4140e+08  
    52  2.5066e+07  1.7222e+02  4.5102e+08  
    53  2.5060e+07  1.7223e+02  4.6064e+08  
    54  2.5054e+07  1.7225e+02  4.7026e+08  
    55  2.5048e+07  1.7226e+02  4.7989e+08  
    56  2.5042e+07  1.7228e+02  4.8953e+08  
    57  2.5035e+07  1.7229e+02  4.9917e+08  
    58  2.5029e+07  1.7230e+02  5.0881e+08  
    59  2.5023e+07  1.7232e+02  5.1846e+08  
    60  2.5017e+07  1.7233e+02  5.2811e+08  
    61  2.5011e+07  1.7234e+02  5.3777e+08  
    62  2.5004e+07  1.7236e+02  5.4743e+08  
    63  2.4998e+07  1.7237e+02  5.5710e+08  
    64  2.4992e+07  1.7238e+02  5.6677e+08  
    65  2.4986e+07  1.7240e+02  5.7645e+08  
    66  2.4980e+07  1.7241e+02  5.8613e+08  
    67  2.4973e+07  1.7243e+02  5.9582e+08  
    68  2.4967e+07  1.7244e+02  6.0551e+08  
    69  2.4961e+07  1.7245e+02  6.1521e+08  
    70  2.4955e+07  1.7247e+02  6.2491e+08  
    71  2.4949e+07  1.7248e+02  6.3461e+08  
    72  2.4942e+07  1.7249e+02  6.4433e+08  
    73  2.4936e+07  1.7251e+02  6.5404e+08  
    74  2.4930e+07  1.7252e+02  6.6376e+08  
    75  2.4924e+07  1.7254e+02  6.7349e+08  
    76  2.4918e+07  1.7255e+02  6.8322e+08  
    77  2.4911e+07  1.7256e+02  6.9295e+08  
    78  2.4905e+07  1.7258e+02  7.0269e+08  
    79  2.4899e+07  1.7259e+02  7.1243e+08  
    80  2.4893e+07  1.7261e+02  7.2218e+08  
    81  2.4887e+07  1.7262e+02  7.3194e+08  
    82  2.4880e+07  1.7263e+02  7.4170e+08  
    83  2.4874e+07  1.7265e+02  7.5146e+08  
    84  2.4868e+07  1.7266e+02  7.6123e+08  
    85  2.4862e+07  1.7268e+02  7.7100e+08  
    86  2.4856e+07  1.7269e+02  7.8078e+08  
    87  2.4849e+07  1.7271e+02  7.9056e+08  
    88  2.4843e+07  1.7272e+02  8.0035e+08  
    89  2.4837e+07  1.7273e+02  8.1014e+08  
    90  2.4831e+07  1.7275e+02  8.1994e+08  
    91  2.4825e+07  1.7276e+02  8.2974e+08  
    92  2.4818e+07  1.7278e+02  8.3955e+08  
    93  2.4812e+07  1.7279e+02  8.4936e+08  
    94  2.4806e+07  1.7281e+02  8.5918e+08  
    95  2.4800e+07  1.7282e+02  8.6900e+08  
    96  2.4794e+07  1.7283e+02  8.7883e+08  
    97  2.4787e+07  1.7285e+02  8.8866e+08  
    98  2.4781e+07  1.7286e+02  8.9850e+08  
    99  2.4775e+07  1.7288e+02  9.0834e+08  
   100  2.4769e+07  1.7289e+02  9.1819e+08  
