# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681383007655193e+25 kg
# Mean radius       s0 = 2.538874e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.227017
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000519.432196
# J2  =  3510.381911
# J4  =   -30.677598
# J6  =     0.400628
# J8  =    -0.007222
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5383e+07  3.4564e+00  2.0453e+05  
     2  2.5376e+07  5.0813e+00  4.3802e+05  
     3  2.5370e+07  5.2429e+00  7.2049e+05  
     4  2.5364e+07  5.3948e+00  1.0117e+06  
     5  2.5358e+07  5.5470e+00  1.3114e+06  
     6  2.5352e+07  5.6994e+00  1.6195e+06  
     7  2.5345e+07  5.8521e+00  1.9362e+06  
     8  2.5339e+07  6.0051e+00  2.2615e+06  
     9  2.5333e+07  6.1584e+00  2.5953e+06  
    10  2.5327e+07  6.3120e+00  2.9376e+06  
    11  2.5321e+07  6.4658e+00  3.2887e+06  
    12  2.5314e+07  6.6199e+00  3.6483e+06  
    13  2.5308e+07  6.7743e+00  4.0166e+06  
    14  2.5302e+07  6.9290e+00  4.3936e+06  
    15  2.5296e+07  7.0840e+00  4.7793e+06  
    16  2.5290e+07  7.2392e+00  5.1738e+06  
    17  2.5283e+07  7.3947e+00  5.5770e+06  
    18  2.5277e+07  7.5505e+00  5.9890e+06  
    19  2.5271e+07  7.7066e+00  6.4098e+06  
    20  2.5265e+07  7.8630e+00  6.8394e+06  
    21  2.5259e+07  8.0196e+00  7.2779e+06  
    22  2.5252e+07  8.1766e+00  7.7253e+06  
    23  2.5246e+07  8.3338e+00  8.1815e+06  
    24  2.5240e+07  8.4914e+00  8.6468e+06  
    25  2.5234e+07  8.6492e+00  9.1209e+06  
    26  2.5228e+07  8.8073e+00  9.6041e+06  
    27  2.5221e+07  8.9657e+00  1.0096e+07  
    28  2.5215e+07  9.1244e+00  1.0597e+07  
    29  2.5209e+07  9.2834e+00  1.1108e+07  
    30  2.5203e+07  9.4426e+00  1.1627e+07  
    31  2.5197e+07  9.6022e+00  1.2155e+07  
    32  2.5190e+07  9.7621e+00  1.2693e+07  
    33  2.5184e+07  9.9222e+00  1.3240e+07  
    34  2.5178e+07  1.0083e+01  1.3796e+07  
    35  2.5172e+07  1.0243e+01  1.4361e+07  
    36  2.5166e+07  1.0404e+01  1.4935e+07  
    37  2.5159e+07  1.0566e+01  1.5519e+07  
    38  2.5153e+07  1.0727e+01  1.6112e+07  
    39  2.5147e+07  1.0889e+01  1.6714e+07  
    40  2.5141e+07  1.1052e+01  1.7325e+07  
    41  2.5135e+07  1.1214e+01  1.7946e+07  
    42  2.5128e+07  1.1377e+01  1.8577e+07  
    43  2.5122e+07  1.1540e+01  1.9216e+07  
    44  2.5116e+07  1.1704e+01  1.9865e+07  
    45  2.5110e+07  1.1868e+01  2.0524e+07  
    46  2.5104e+07  1.2032e+01  2.1192e+07  
    47  2.5097e+07  1.2196e+01  2.1870e+07  
    48  2.5091e+07  1.2361e+01  2.2557e+07  
    49  2.5085e+07  1.2526e+01  2.3254e+07  
    50  2.5079e+07  1.2691e+01  2.3960e+07  
    51  2.5073e+07  1.2857e+01  2.4676e+07  
    52  2.5066e+07  1.3023e+01  2.5402e+07  
    53  2.5060e+07  1.3189e+01  2.6137e+07  
    54  2.5054e+07  1.3355e+01  2.6882e+07  
    55  2.5048e+07  1.3522e+01  2.7637e+07  
    56  2.5042e+07  1.3689e+01  2.8402e+07  
    57  2.5035e+07  1.3857e+01  2.9176e+07  
