# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681383007655193e+25 kg
# Mean radius       s0 = 2.538874e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.227017
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000519.432196
# J2  =  3510.381911
# J4  =   -30.677598
# J6  =     0.400628
# J8  =    -0.007222
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
    58  2.5029e+07  1.4025e+01  2.9960e+07  
    59  2.5023e+07  1.4193e+01  3.0754e+07  
    60  2.5017e+07  1.4361e+01  3.1558e+07  
    61  2.5011e+07  1.4530e+01  3.2372e+07  
    62  2.5004e+07  1.4699e+01  3.3196e+07  
    63  2.4998e+07  1.4869e+01  3.4029e+07  
    64  2.4992e+07  1.5039e+01  3.4873e+07  
    65  2.4986e+07  1.5209e+01  3.5727e+07  
    66  2.4980e+07  1.5379e+01  3.6590e+07  
    67  2.4973e+07  1.5550e+01  3.7464e+07  
    68  2.4967e+07  1.5721e+01  3.8348e+07  
    69  2.4961e+07  1.5892e+01  3.9242e+07  
    70  2.4955e+07  1.6064e+01  4.0146e+07  
    71  2.4949e+07  1.6236e+01  4.1061e+07  
    72  2.4942e+07  1.6408e+01  4.1985e+07  
    73  2.4936e+07  1.6581e+01  4.2920e+07  
    74  2.4930e+07  1.6754e+01  4.3865e+07  
    75  2.4924e+07  1.6927e+01  4.4821e+07  
    76  2.4918e+07  1.7101e+01  4.5786e+07  
    77  2.4911e+07  1.7275e+01  4.6762e+07  
    78  2.4905e+07  1.7449e+01  4.7749e+07  
    79  2.4899e+07  1.7624e+01  4.8746e+07  
    80  2.4893e+07  1.7799e+01  4.9753e+07  
    81  2.4887e+07  1.7975e+01  5.0771e+07  
    82  2.4880e+07  1.8150e+01  5.1799e+07  
    83  2.4874e+07  1.8326e+01  5.2838e+07  
    84  2.4868e+07  1.8503e+01  5.3888e+07  
    85  2.4862e+07  1.8680e+01  5.4948e+07  
    86  2.4856e+07  1.8857e+01  5.6018e+07  
    87  2.4849e+07  1.9034e+01  5.7100e+07  
    88  2.4843e+07  1.9212e+01  5.8192e+07  
    89  2.4837e+07  1.9390e+01  5.9294e+07  
    90  2.4831e+07  1.9568e+01  6.0408e+07  
    91  2.4825e+07  1.9747e+01  6.1532e+07  
    92  2.4818e+07  1.9926e+01  6.2667e+07  
    93  2.4812e+07  2.0106e+01  6.3813e+07  
    94  2.4806e+07  2.0286e+01  6.4970e+07  
    95  2.4800e+07  2.0466e+01  6.6137e+07  
    96  2.4794e+07  2.0647e+01  6.7316e+07  
    97  2.4787e+07  2.0828e+01  6.8505e+07  
    98  2.4781e+07  2.1009e+01  6.9706e+07  
    99  2.4775e+07  2.1190e+01  7.0917e+07  
   100  2.4769e+07  2.1372e+01  7.2140e+07  
   101  2.4763e+07  2.1555e+01  7.3374e+07  
   102  2.4756e+07  2.1738e+01  7.4618e+07  
   103  2.4750e+07  2.1921e+01  7.5874e+07  
   104  2.4744e+07  2.2104e+01  7.7142e+07  
   105  2.4738e+07  2.2288e+01  7.8420e+07  
   106  2.4732e+07  2.2472e+01  7.9709e+07  
   107  2.4726e+07  2.2657e+01  8.1010e+07  
   108  2.4719e+07  2.2842e+01  8.2323e+07  
   109  2.4713e+07  2.3027e+01  8.3646e+07  
   110  2.4707e+07  2.3212e+01  8.4981e+07  
   111  2.4701e+07  2.3398e+01  8.6327e+07  
   112  2.4695e+07  2.3585e+01  8.7685e+07  
   113  2.4688e+07  2.3772e+01  8.9054e+07  
   114  2.4682e+07  2.3959e+01  9.0435e+07  
   115  2.4676e+07  2.4146e+01  9.1827e+07  
   116  2.4670e+07  2.4334e+01  9.3231e+07  
   117  2.4664e+07  2.4522e+01  9.4646e+07  
   118  2.4657e+07  2.4711e+01  9.6073e+07  
   119  2.4651e+07  2.4900e+01  9.7512e+07  
   120  2.4645e+07  2.5089e+01  9.8963e+07  
   121  2.4639e+07  2.5279e+01  1.0042e+08  
   122  2.4633e+07  2.5469e+01  1.0190e+08  
   123  2.4626e+07  2.5660e+01  1.0338e+08  
   124  2.4620e+07  2.5851e+01  1.0488e+08  
   125  2.4614e+07  2.6042e+01  1.0639e+08  
   126  2.4608e+07  2.6234e+01  1.0791e+08  
   127  2.4602e+07  2.6426e+01  1.0945e+08  
   128  2.4595e+07  2.6618e+01  1.1099e+08  
   129  2.4589e+07  2.6811e+01  1.1255e+08  
   130  2.4583e+07  2.7004e+01  1.1412e+08  
   131  2.4577e+07  2.7198e+01  1.1570e+08  
   132  2.4571e+07  2.7392e+01  1.1729e+08  
   133  2.4564e+07  2.7586e+01  1.1890e+08  
   134  2.4558e+07  2.7781e+01  1.2052e+08  
   135  2.4552e+07  2.7977e+01  1.2215e+08  
   136  2.4546e+07  2.8172e+01  1.2379e+08  
   137  2.4540e+07  2.8368e+01  1.2544e+08  
   138  2.4533e+07  2.8565e+01  1.2711e+08  
   139  2.4527e+07  2.8761e+01  1.2879e+08  
   140  2.4521e+07  2.8959e+01  1.3048e+08  
   141  2.4515e+07  2.9156e+01  1.3219e+08  
   142  2.4509e+07  2.9354e+01  1.3390e+08  
   143  2.4502e+07  2.9553e+01  1.3563e+08  
   144  2.4496e+07  2.9752e+01  1.3737e+08  
   145  2.4490e+07  2.9951e+01  1.3913e+08  
   146  2.4484e+07  3.0151e+01  1.4089e+08  
   147  2.4478e+07  3.0351e+01  1.4267e+08  
   148  2.4471e+07  3.0551e+01  1.4447e+08  
   149  2.4465e+07  3.0752e+01  1.4627e+08  
   150  2.4459e+07  3.0953e+01  1.4809e+08  
   151  2.4453e+07  3.1155e+01  1.4992e+08  
   152  2.4447e+07  3.1357e+01  1.5176e+08  
   153  2.4440e+07  3.1560e+01  1.5362e+08  
   154  2.4434e+07  3.1763e+01  1.5549e+08  
   155  2.4428e+07  3.1966e+01  1.5737e+08  
   156  2.4422e+07  3.2170e+01  1.5926e+08  
   157  2.4416e+07  3.2374e+01  1.6117e+08  
   158  2.4409e+07  3.2579e+01  1.6309e+08  
   159  2.4403e+07  3.2784e+01  1.6503e+08  
   160  2.4397e+07  3.2990e+01  1.6697e+08  
   161  2.4391e+07  3.3196e+01  1.6893e+08  
   162  2.4385e+07  3.3402e+01  1.7091e+08  
   163  2.4378e+07  3.3609e+01  1.7289e+08  
   164  2.4372e+07  3.3816e+01  1.7489e+08  
   165  2.4366e+07  3.4024e+01  1.7691e+08  
   166  2.4360e+07  3.4232e+01  1.7893e+08  
   167  2.4354e+07  3.4441e+01  1.8098e+08  
   168  2.4347e+07  3.4650e+01  1.8303e+08  
   169  2.4341e+07  3.4859e+01  1.8510e+08  
   170  2.4335e+07  3.5069e+01  1.8718e+08  
   171  2.4329e+07  3.5279e+01  1.8927e+08  
   172  2.4323e+07  3.5490e+01  1.9138e+08  
   173  2.4316e+07  3.5702e+01  1.9350e+08  
   174  2.4310e+07  3.5913e+01  1.9564e+08  
   175  2.4304e+07  3.6125e+01  1.9778e+08  
   176  2.4298e+07  3.6338e+01  1.9995e+08  
   177  2.4292e+07  3.6551e+01  2.0212e+08  
   178  2.4285e+07  3.6765e+01  2.0431e+08  
   179  2.4279e+07  3.6978e+01  2.0652e+08  
   180  2.4273e+07  3.7193e+01  2.0874e+08  
   181  2.4267e+07  3.7408e+01  2.1097e+08  
   182  2.4261e+07  3.7623e+01  2.1321e+08  
   183  2.4254e+07  3.7839e+01  2.1547e+08  
   184  2.4248e+07  3.8055e+01  2.1775e+08  
   185  2.4242e+07  3.8272e+01  2.2004e+08  
   186  2.4236e+07  3.8489e+01  2.2234e+08  
   187  2.4230e+07  3.8707e+01  2.2466e+08  
   188  2.4223e+07  3.8925e+01  2.2699e+08  
   189  2.4217e+07  3.9143e+01  2.2933e+08  
   190  2.4211e+07  3.9362e+01  2.3169e+08  
   191  2.4205e+07  3.9582e+01  2.3407e+08  
   192  2.4199e+07  3.9802e+01  2.3645e+08  
   193  2.4192e+07  4.0023e+01  2.3886e+08  
   194  2.4186e+07  4.0243e+01  2.4127e+08  
   195  2.4180e+07  4.0465e+01  2.4371e+08  
   196  2.4174e+07  4.0687e+01  2.4615e+08  
   197  2.4168e+07  4.0909e+01  2.4861e+08  
   198  2.4161e+07  4.1132e+01  2.5109e+08  
   199  2.4155e+07  4.1355e+01  2.5358e+08  
   200  2.4149e+07  4.1579e+01  2.5609e+08  
   201  2.4143e+07  4.1804e+01  2.5861e+08  
   202  2.4137e+07  4.2029e+01  2.6114e+08  
   203  2.4130e+07  4.2254e+01  2.6369e+08  
   204  2.4124e+07  4.2480e+01  2.6626e+08  
   205  2.4118e+07  4.2706e+01  2.6884e+08  
   206  2.4112e+07  4.2933e+01  2.7143e+08  
   207  2.4106e+07  4.3160e+01  2.7404e+08  
   208  2.4099e+07  4.3388e+01  2.7666e+08  
   209  2.4093e+07  4.3616e+01  2.7931e+08  
   210  2.4087e+07  4.3845e+01  2.8196e+08  
   211  2.4081e+07  4.4074e+01  2.8463e+08  
   212  2.4075e+07  4.4304e+01  2.8732e+08  
   213  2.4068e+07  4.4534e+01  2.9002e+08  
   214  2.4062e+07  4.4765e+01  2.9274e+08  
   215  2.4056e+07  4.4997e+01  2.9547e+08  
   216  2.4050e+07  4.5229e+01  2.9822e+08  
   217  2.4044e+07  4.5461e+01  3.0098e+08  
   218  2.4037e+07  4.5694e+01  3.0376e+08  
   219  2.4031e+07  4.5927e+01  3.0655e+08  
   220  2.4025e+07  4.6161e+01  3.0936e+08  
   221  2.4019e+07  4.6396e+01  3.1219e+08  
   222  2.4013e+07  4.6631e+01  3.1503e+08  
   223  2.4006e+07  4.6866e+01  3.1789e+08  
   224  2.4000e+07  4.7102e+01  3.2076e+08  
   225  2.3994e+07  4.7339e+01  3.2365e+08  
   226  2.3988e+07  4.7576e+01  3.2655e+08  
   227  2.3982e+07  4.7813e+01  3.2947e+08  
   228  2.3975e+07  4.8051e+01  3.3241e+08  
   229  2.3969e+07  4.8290e+01  3.3536e+08  
   230  2.3963e+07  4.8529e+01  3.3833e+08  
   231  2.3957e+07  4.8769e+01  3.4132e+08  
   232  2.3951e+07  4.9009e+01  3.4432e+08  
   233  2.3945e+07  4.9250e+01  3.4734e+08  
   234  2.3938e+07  4.9492e+01  3.5037e+08  
   235  2.3932e+07  4.9734e+01  3.5342e+08  
   236  2.3926e+07  4.9976e+01  3.5649e+08  
   237  2.3920e+07  5.0219e+01  3.5958e+08  
   238  2.3914e+07  5.0463e+01  3.6268e+08  
   239  2.3907e+07  5.0707e+01  3.6579e+08  
   240  2.3901e+07  5.0951e+01  3.6893e+08  
   241  2.3895e+07  5.1197e+01  3.7208e+08  
   242  2.3889e+07  5.1442e+01  3.7524e+08  
   243  2.3883e+07  5.1689e+01  3.7843e+08  
   244  2.3876e+07  5.1936e+01  3.8163e+08  
   245  2.3870e+07  5.2183e+01  3.8485e+08  
   246  2.3864e+07  5.2431e+01  3.8808e+08  
   247  2.3858e+07  5.2680e+01  3.9133e+08  
   248  2.3852e+07  5.2929e+01  3.9460e+08  
   249  2.3845e+07  5.3179e+01  3.9789e+08  
   250  2.3839e+07  5.3429e+01  4.0119e+08  
   251  2.3833e+07  5.3680e+01  4.0451e+08  
   252  2.3827e+07  5.3932e+01  4.0785e+08  
   253  2.3821e+07  5.4184e+01  4.1120e+08  
   254  2.3814e+07  5.4436e+01  4.1457e+08  
   255  2.3808e+07  5.4690e+01  4.1796e+08  
   256  2.3802e+07  5.4943e+01  4.2137e+08  
   257  2.3796e+07  5.5198e+01  4.2479e+08  
   258  2.3790e+07  5.5453e+01  4.2823e+08  
   259  2.3783e+07  5.5708e+01  4.3169e+08  
   260  2.3777e+07  5.5965e+01  4.3517e+08  
   261  2.3771e+07  5.6221e+01  4.3867e+08  
   262  2.3765e+07  5.6479e+01  4.4218e+08  
   263  2.3759e+07  5.6737e+01  4.4571e+08  
   264  2.3752e+07  5.6995e+01  4.4926e+08  
   265  2.3746e+07  5.7254e+01  4.5282e+08  
   266  2.3740e+07  5.7514e+01  4.5641e+08  
   267  2.3734e+07  5.7775e+01  4.6001e+08  
   268  2.3728e+07  5.8036e+01  4.6363e+08  
   269  2.3721e+07  5.8297e+01  4.6727e+08  
   270  2.3715e+07  5.8560e+01  4.7093e+08  
   271  2.3709e+07  5.8822e+01  4.7460e+08  
   272  2.3703e+07  5.9086e+01  4.7830e+08  
   273  2.3697e+07  5.9350e+01  4.8201e+08  
   274  2.3690e+07  5.9615e+01  4.8574e+08  
   275  2.3684e+07  5.9880e+01  4.8949e+08  
   276  2.3678e+07  6.0146e+01  4.9326e+08  
   277  2.3672e+07  6.0413e+01  4.9704e+08  
   278  2.3666e+07  6.0680e+01  5.0085e+08  
   279  2.3659e+07  6.0948e+01  5.0467e+08  
   280  2.3653e+07  6.1216e+01  5.0851e+08  
   281  2.3647e+07  6.1485e+01  5.1238e+08  
   282  2.3641e+07  6.1755e+01  5.1626e+08  
   283  2.3635e+07  6.2026e+01  5.2016e+08  
   284  2.3628e+07  6.2297e+01  5.2407e+08  
   285  2.3622e+07  6.2569e+01  5.2801e+08  
   286  2.3616e+07  6.2841e+01  5.3197e+08  
   287  2.3610e+07  6.3114e+01  5.3594e+08  
   288  2.3604e+07  6.3388e+01  5.3994e+08  
   289  2.3597e+07  6.3662e+01  5.4395e+08  
   290  2.3591e+07  6.3937e+01  5.4799e+08  
   291  2.3585e+07  6.4213e+01  5.5204e+08  
   292  2.3579e+07  6.4489e+01  5.5611e+08  
   293  2.3573e+07  6.4766e+01  5.6021e+08  
   294  2.3566e+07  6.5044e+01  5.6432e+08  
   295  2.3560e+07  6.5322e+01  5.6845e+08  
   296  2.3554e+07  6.5601e+01  5.7260e+08  
   297  2.3548e+07  6.5881e+01  5.7677e+08  
   298  2.3542e+07  6.6161e+01  5.8096e+08  
   299  2.3535e+07  6.6442e+01  5.8517e+08  
   300  2.3529e+07  6.6724e+01  5.8941e+08  
   301  2.3523e+07  6.7006e+01  5.9366e+08  
   302  2.3517e+07  6.7289e+01  5.9793e+08  
   303  2.3511e+07  6.7573e+01  6.0222e+08  
   304  2.3504e+07  6.7858e+01  6.0653e+08  
   305  2.3498e+07  6.8143e+01  6.1086e+08  
   306  2.3492e+07  6.8429e+01  6.1522e+08  
   307  2.3486e+07  6.8715e+01  6.1959e+08  
   308  2.3480e+07  6.9003e+01  6.2398e+08  
   309  2.3473e+07  6.9291e+01  6.2840e+08  
   310  2.3467e+07  6.9579e+01  6.3283e+08  
   311  2.3461e+07  6.9869e+01  6.3729e+08  
   312  2.3455e+07  7.0159e+01  6.4176e+08  
   313  2.3449e+07  7.0450e+01  6.4626e+08  
   314  2.3442e+07  7.0741e+01  6.5078e+08  
   315  2.3436e+07  7.1034e+01  6.5532e+08  
   316  2.3430e+07  7.1327e+01  6.5988e+08  
   317  2.3424e+07  7.1620e+01  6.6446e+08  
   318  2.3418e+07  7.1915e+01  6.6906e+08  
   319  2.3411e+07  7.2210e+01  6.7369e+08  
   320  2.3405e+07  7.2506e+01  6.7833e+08  
   321  2.3399e+07  7.2803e+01  6.8300e+08  
   322  2.3393e+07  7.3100e+01  6.8768e+08  
   323  2.3387e+07  7.3398e+01  6.9239e+08  
   324  2.3380e+07  7.3697e+01  6.9712e+08  
   325  2.3374e+07  7.3997e+01  7.0188e+08  
   326  2.3368e+07  7.4297e+01  7.0665e+08  
   327  2.3362e+07  7.4599e+01  7.1145e+08  
   328  2.3356e+07  7.4900e+01  7.1626e+08  
   329  2.3349e+07  7.5203e+01  7.2110e+08  
   330  2.3343e+07  7.5507e+01  7.2597e+08  
   331  2.3337e+07  7.5811e+01  7.3085e+08  
   332  2.3331e+07  7.6116e+01  7.3576e+08  
   333  2.3325e+07  7.6422e+01  7.4068e+08  
   334  2.3318e+07  7.6728e+01  7.4564e+08  
   335  2.3312e+07  7.7035e+01  7.5061e+08  
   336  2.3306e+07  7.7343e+01  7.5560e+08  
   337  2.3300e+07  7.7652e+01  7.6062e+08  
   338  2.3294e+07  7.7962e+01  7.6566e+08  
   339  2.3287e+07  7.8272e+01  7.7072e+08  
   340  2.3281e+07  7.8584e+01  7.7581e+08  
   341  2.3275e+07  7.8896e+01  7.8092e+08  
   342  2.3269e+07  7.9209e+01  7.8605e+08  
   343  2.3263e+07  7.9522e+01  7.9120e+08  
   344  2.3256e+07  7.9837e+01  7.9638e+08  
   345  2.3250e+07  8.0152e+01  8.0158e+08  
   346  2.3244e+07  8.0468e+01  8.0681e+08  
   347  2.3238e+07  8.0785e+01  8.1205e+08  
   348  2.3232e+07  8.1102e+01  8.1732e+08  
   349  2.3225e+07  8.1421e+01  8.2262e+08  
   350  2.3219e+07  8.1740e+01  8.2793e+08  
   351  2.3213e+07  8.2060e+01  8.3327e+08  
   352  2.3207e+07  8.2381e+01  8.3864e+08  
   353  2.3201e+07  8.2703e+01  8.4403e+08  
   354  2.3194e+07  8.3026e+01  8.4944e+08  
   355  2.3188e+07  8.3349e+01  8.5487e+08  
   356  2.3182e+07  8.3674e+01  8.6033e+08  
   357  2.3176e+07  8.3999e+01  8.6582e+08  
   358  2.3170e+07  8.4325e+01  8.7132e+08  
   359  2.3164e+07  8.4652e+01  8.7686e+08  
   360  2.3157e+07  8.4979e+01  8.8241e+08  
   361  2.3151e+07  8.5308e+01  8.8799e+08  
   362  2.3145e+07  8.5637e+01  8.9360e+08  
   363  2.3139e+07  8.5968e+01  8.9923e+08  
   364  2.3133e+07  8.6299e+01  9.0488e+08  
   365  2.3126e+07  8.6631e+01  9.1056e+08  
   366  2.3120e+07  8.6964e+01  9.1626e+08  
   367  2.3114e+07  8.7298e+01  9.2199e+08  
   368  2.3108e+07  8.7632e+01  9.2774e+08  
   369  2.3102e+07  8.7968e+01  9.3352e+08  
   370  2.3095e+07  8.8304e+01  9.3932e+08  
   371  2.3089e+07  8.8642e+01  9.4515e+08  
   372  2.3083e+07  8.8980e+01  9.5100e+08  
   373  2.3077e+07  8.9319e+01  9.5688e+08  
   374  2.3071e+07  8.9659e+01  9.6278e+08  
   375  2.3064e+07  9.0000e+01  9.6871e+08  
   376  2.3058e+07  9.0342e+01  9.7467e+08  
   377  2.3052e+07  9.0685e+01  9.8065e+08  
   378  2.3046e+07  9.1028e+01  9.8665e+08  
   379  2.3040e+07  9.1373e+01  9.9269e+08  
   380  2.3033e+07  9.1719e+01  9.9874e+08  
   381  2.3027e+07  9.2065e+01  1.0048e+09  
   382  2.3021e+07  9.2412e+01  1.0109e+09  
   383  2.3015e+07  9.2761e+01  1.0171e+09  
   384  2.3009e+07  9.3110e+01  1.0232e+09  
   385  2.3002e+07  9.3460e+01  1.0294e+09  
   386  2.2996e+07  9.3811e+01  1.0356e+09  
   387  2.2990e+07  9.4164e+01  1.0419e+09  
   388  2.2984e+07  9.4517e+01  1.0481e+09  
   389  2.2978e+07  9.4871e+01  1.0544e+09  
   390  2.2971e+07  9.5226e+01  1.0608e+09  
   391  2.2965e+07  9.5581e+01  1.0671e+09  
   392  2.2959e+07  9.5938e+01  1.0735e+09  
   393  2.2953e+07  9.6296e+01  1.0799e+09  
   394  2.2947e+07  9.6655e+01  1.0863e+09  
   395  2.2940e+07  9.7015e+01  1.0928e+09  
   396  2.2934e+07  9.7376e+01  1.0993e+09  
   397  2.2928e+07  9.7738e+01  1.1058e+09  
   398  2.2922e+07  9.8100e+01  1.1123e+09  
   399  2.2916e+07  9.8464e+01  1.1189e+09  
   400  2.2909e+07  9.8829e+01  1.1255e+09  
   401  2.2903e+07  9.9195e+01  1.1321e+09  
   402  2.2897e+07  9.9562e+01  1.1387e+09  
   403  2.2891e+07  9.9929e+01  1.1454e+09  
   404  2.2885e+07  1.0030e+02  1.1521e+09  
   405  2.2878e+07  1.0067e+02  1.1589e+09  
   406  2.2872e+07  1.0104e+02  1.1656e+09  
   407  2.2866e+07  1.0141e+02  1.1724e+09  
   408  2.2860e+07  1.0178e+02  1.1792e+09  
   409  2.2854e+07  1.0216e+02  1.1861e+09  
   410  2.2847e+07  1.0253e+02  1.1930e+09  
   411  2.2841e+07  1.0291e+02  1.1999e+09  
   412  2.2835e+07  1.0329e+02  1.2068e+09  
   413  2.2829e+07  1.0366e+02  1.2138e+09  
   414  2.2823e+07  1.0404e+02  1.2207e+09  
   415  2.2816e+07  1.0442e+02  1.2278e+09  
   416  2.2810e+07  1.0481e+02  1.2348e+09  
   417  2.2804e+07  1.0519e+02  1.2419e+09  
   418  2.2798e+07  1.0557e+02  1.2490e+09  
   419  2.2792e+07  1.0596e+02  1.2561e+09  
   420  2.2785e+07  1.0634e+02  1.2633e+09  
   421  2.2779e+07  1.0673e+02  1.2705e+09  
   422  2.2773e+07  1.0712e+02  1.2777e+09  
   423  2.2767e+07  1.0751e+02  1.2850e+09  
   424  2.2761e+07  1.0790e+02  1.2923e+09  
   425  2.2754e+07  1.0829e+02  1.2996e+09  
   426  2.2748e+07  1.0868e+02  1.3069e+09  
   427  2.2742e+07  1.0907e+02  1.3143e+09  
   428  2.2736e+07  1.0947e+02  1.3217e+09  
   429  2.2730e+07  1.0986e+02  1.3292e+09  
   430  2.2723e+07  1.1026e+02  1.3366e+09  
   431  2.2717e+07  1.1066e+02  1.3441e+09  
   432  2.2711e+07  1.1106e+02  1.3517e+09  
   433  2.2705e+07  1.1146e+02  1.3592e+09  
   434  2.2699e+07  1.1186e+02  1.3668e+09  
   435  2.2692e+07  1.1226e+02  1.3744e+09  
   436  2.2686e+07  1.1266e+02  1.3821e+09  
   437  2.2680e+07  1.1307e+02  1.3898e+09  
   438  2.2674e+07  1.1347e+02  1.3975e+09  
   439  2.2668e+07  1.1388e+02  1.4053e+09  
   440  2.2661e+07  1.1429e+02  1.4130e+09  
   441  2.2655e+07  1.1470e+02  1.4208e+09  
   442  2.2649e+07  1.1511e+02  1.4287e+09  
   443  2.2643e+07  1.1552e+02  1.4366e+09  
   444  2.2637e+07  1.1594e+02  1.4445e+09  
   445  2.2630e+07  1.1635e+02  1.4524e+09  
   446  2.2624e+07  1.1677e+02  1.4604e+09  
   447  2.2618e+07  1.1718e+02  1.4684e+09  
   448  2.2612e+07  1.1760e+02  1.4764e+09  
   449  2.2606e+07  1.1802e+02  1.4845e+09  
   450  2.2599e+07  1.1844e+02  1.4926e+09  
   451  2.2593e+07  1.1886e+02  1.5008e+09  
   452  2.2587e+07  1.1928e+02  1.5089e+09  
   453  2.2581e+07  1.1971e+02  1.5171e+09  
   454  2.2575e+07  1.2013e+02  1.5254e+09  
   455  2.2568e+07  1.2056e+02  1.5336e+09  
   456  2.2562e+07  1.2099e+02  1.5419e+09  
   457  2.2556e+07  1.2142e+02  1.5503e+09  
   458  2.2550e+07  1.2185e+02  1.5587e+09  
   459  2.2544e+07  1.2228e+02  1.5671e+09  
   460  2.2537e+07  1.2271e+02  1.5755e+09  
   461  2.2531e+07  1.2315e+02  1.5840e+09  
   462  2.2525e+07  1.2358e+02  1.5925e+09  
   463  2.2519e+07  1.2402e+02  1.6010e+09  
   464  2.2513e+07  1.2446e+02  1.6096e+09  
   465  2.2506e+07  1.2490e+02  1.6182e+09  
   466  2.2500e+07  1.2534e+02  1.6269e+09  
   467  2.2494e+07  1.2578e+02  1.6355e+09  
   468  2.2488e+07  1.2623e+02  1.6443e+09  
   469  2.2482e+07  1.2667e+02  1.6530e+09  
   470  2.2475e+07  1.2712e+02  1.6618e+09  
   471  2.2469e+07  1.2756e+02  1.6706e+09  
