# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.680380254978047e+25 kg
# Mean radius       s0 = 2.538868e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225905
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000585.167729
# J2  =  3511.207191
# J4  =   -35.801753
# J6  =     0.618524
# J8  =    -0.015835
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5382e+07  2.2701e+01  7.3072e+05  
     2  2.5376e+07  4.3190e+01  2.5328e+06  
     3  2.5370e+07  6.1833e+01  5.4065e+06  
     4  2.5364e+07  7.8634e+01  9.2517e+06  
     5  2.5358e+07  9.3592e+01  1.3969e+07  
     6  2.5351e+07  1.0671e+02  1.9457e+07  
     7  2.5345e+07  1.1799e+02  2.5616e+07  
     8  2.5339e+07  1.2743e+02  3.2346e+07  
     9  2.5333e+07  1.3504e+02  3.9547e+07  
    10  2.5327e+07  1.4081e+02  4.7119e+07  
    11  2.5321e+07  1.4475e+02  5.4960e+07  
    12  2.5314e+07  1.4686e+02  6.2970e+07  
    13  2.5308e+07  1.4714e+02  7.1050e+07  
    14  2.5302e+07  1.4715e+02  7.9141e+07  
    15  2.5296e+07  1.4716e+02  8.7235e+07  
    16  2.5290e+07  1.4717e+02  9.5334e+07  
    17  2.5283e+07  1.4717e+02  1.0344e+08  
    18  2.5277e+07  1.4718e+02  1.1154e+08  
    19  2.5271e+07  1.4719e+02  1.1965e+08  
    20  2.5265e+07  1.4720e+02  1.2777e+08  
    21  2.5259e+07  1.4720e+02  1.3588e+08  
    22  2.5252e+07  1.4721e+02  1.4400e+08  
    23  2.5246e+07  1.4722e+02  1.5213e+08  
    24  2.5240e+07  1.4723e+02  1.6026e+08  
    25  2.5234e+07  1.4724e+02  1.6839e+08  
    26  2.5228e+07  1.4724e+02  1.7653e+08  
    27  2.5221e+07  1.4725e+02  1.8467e+08  
    28  2.5215e+07  1.4726e+02  1.9281e+08  
    29  2.5209e+07  1.4727e+02  2.0096e+08  
    30  2.5203e+07  1.4728e+02  2.0911e+08  
    31  2.5197e+07  1.4728e+02  2.1727e+08  
    32  2.5190e+07  1.4729e+02  2.2543e+08  
    33  2.5184e+07  1.4730e+02  2.3359e+08  
    34  2.5178e+07  1.4731e+02  2.4176e+08  
    35  2.5172e+07  1.4732e+02  2.4993e+08  
    36  2.5166e+07  1.4732e+02  2.5811e+08  
    37  2.5159e+07  1.4733e+02  2.6629e+08  
    38  2.5153e+07  1.4734e+02  2.7447e+08  
    39  2.5147e+07  1.4735e+02  2.8266e+08  
    40  2.5141e+07  1.4736e+02  2.9085e+08  
    41  2.5135e+07  1.4736e+02  2.9905e+08  
    42  2.5128e+07  1.4737e+02  3.0724e+08  
    43  2.5122e+07  1.4738e+02  3.1545e+08  
    44  2.5116e+07  1.4739e+02  3.2365e+08  
    45  2.5110e+07  1.4740e+02  3.3187e+08  
    46  2.5104e+07  1.4740e+02  3.4008e+08  
    47  2.5097e+07  1.4741e+02  3.4830e+08  
    48  2.5091e+07  1.4742e+02  3.5652e+08  
    49  2.5085e+07  1.4743e+02  3.6475e+08  
    50  2.5079e+07  1.4744e+02  3.7298e+08  
    51  2.5073e+07  1.4745e+02  3.8121e+08  
    52  2.5066e+07  1.4745e+02  3.8945e+08  
    53  2.5060e+07  1.4746e+02  3.9769e+08  
