# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.680380254978047e+25 kg
# Mean radius       s0 = 2.538868e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225905
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000585.167729
# J2  =  3511.207191
# J4  =   -35.801753
# J6  =     0.618524
# J8  =    -0.015835
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
    54  2.5054e+07  1.4747e+02  4.0594e+08  
    55  2.5048e+07  1.4748e+02  4.1419e+08  
    56  2.5042e+07  1.4749e+02  4.2244e+08  
    57  2.5035e+07  1.4750e+02  4.3070e+08  
    58  2.5029e+07  1.4750e+02  4.3896e+08  
    59  2.5023e+07  1.4751e+02  4.4723e+08  
    60  2.5017e+07  1.4752e+02  4.5550e+08  
    61  2.5011e+07  1.4753e+02  4.6377e+08  
    62  2.5004e+07  1.4754e+02  4.7205e+08  
    63  2.4998e+07  1.4755e+02  4.8033e+08  
    64  2.4992e+07  1.4755e+02  4.8862e+08  
    65  2.4986e+07  1.4756e+02  4.9691e+08  
    66  2.4980e+07  1.4757e+02  5.0520e+08  
    67  2.4973e+07  1.4758e+02  5.1350e+08  
    68  2.4967e+07  1.4759e+02  5.2180e+08  
    69  2.4961e+07  1.4760e+02  5.3011e+08  
    70  2.4955e+07  1.4760e+02  5.3842e+08  
    71  2.4949e+07  1.4761e+02  5.4673e+08  
    72  2.4942e+07  1.4762e+02  5.5505e+08  
    73  2.4936e+07  1.4763e+02  5.6337e+08  
    74  2.4930e+07  1.4764e+02  5.7170e+08  
    75  2.4924e+07  1.4765e+02  5.8003e+08  
    76  2.4918e+07  1.4766e+02  5.8837e+08  
    77  2.4911e+07  1.4766e+02  5.9670e+08  
    78  2.4905e+07  1.4767e+02  6.0505e+08  
    79  2.4899e+07  1.4768e+02  6.1339e+08  
    80  2.4893e+07  1.4769e+02  6.2174e+08  
    81  2.4887e+07  1.4770e+02  6.3010e+08  
    82  2.4880e+07  1.4771e+02  6.3846e+08  
    83  2.4874e+07  1.4772e+02  6.4682e+08  
    84  2.4868e+07  1.4773e+02  6.5519e+08  
    85  2.4862e+07  1.4773e+02  6.6356e+08  
    86  2.4856e+07  1.4774e+02  6.7193e+08  
    87  2.4849e+07  1.4775e+02  6.8031e+08  
    88  2.4843e+07  1.4776e+02  6.8869e+08  
    89  2.4837e+07  1.4777e+02  6.9708e+08  
    90  2.4831e+07  1.4778e+02  7.0547e+08  
    91  2.4825e+07  1.4779e+02  7.1387e+08  
    92  2.4818e+07  1.4780e+02  7.2227e+08  
    93  2.4812e+07  1.4780e+02  7.3067e+08  
    94  2.4806e+07  1.4781e+02  7.3908e+08  
    95  2.4800e+07  1.4782e+02  7.4749e+08  
    96  2.4794e+07  1.4783e+02  7.5591e+08  
    97  2.4787e+07  1.4784e+02  7.6433e+08  
    98  2.4781e+07  1.4785e+02  7.7275e+08  
    99  2.4775e+07  1.4786e+02  7.8118e+08  
   100  2.4769e+07  1.4787e+02  7.8961e+08  
   101  2.4763e+07  1.4788e+02  7.9805e+08  
   102  2.4756e+07  1.4788e+02  8.0649e+08  
   103  2.4750e+07  1.4789e+02  8.1494e+08  
   104  2.4744e+07  1.4790e+02  8.2338e+08  
   105  2.4738e+07  1.4791e+02  8.3184e+08  
   106  2.4732e+07  1.4792e+02  8.4030e+08  
   107  2.4725e+07  1.4793e+02  8.4876e+08  
   108  2.4719e+07  1.4794e+02  8.5722e+08  
   109  2.4713e+07  1.4795e+02  8.6569e+08  
   110  2.4707e+07  1.4796e+02  8.7417e+08  
   111  2.4701e+07  1.4797e+02  8.8265e+08  
   112  2.4694e+07  1.4797e+02  8.9113e+08  
   113  2.4688e+07  1.4798e+02  8.9962e+08  
   114  2.4682e+07  1.4799e+02  9.0811e+08  
   115  2.4676e+07  1.4800e+02  9.1660e+08  
   116  2.4670e+07  1.4801e+02  9.2510e+08  
   117  2.4663e+07  1.4802e+02  9.3360e+08  
   118  2.4657e+07  1.4803e+02  9.4211e+08  
   119  2.4651e+07  1.4804e+02  9.5062e+08  
   120  2.4645e+07  1.4805e+02  9.5914e+08  
   121  2.4639e+07  1.4806e+02  9.6766e+08  
   122  2.4632e+07  1.4807e+02  9.7619e+08  
   123  2.4626e+07  1.4808e+02  9.8472e+08  
   124  2.4620e+07  1.4809e+02  9.9325e+08  
   125  2.4614e+07  1.4810e+02  1.0018e+09  
   126  2.4608e+07  1.4810e+02  1.0103e+09  
   127  2.4601e+07  1.4811e+02  1.0189e+09  
   128  2.4595e+07  1.4812e+02  1.0274e+09  
   129  2.4589e+07  1.4813e+02  1.0360e+09  
   130  2.4583e+07  1.4814e+02  1.0445e+09  
   131  2.4577e+07  1.4815e+02  1.0531e+09  
   132  2.4570e+07  1.4816e+02  1.0617e+09  
   133  2.4564e+07  1.4817e+02  1.0702e+09  
   134  2.4558e+07  1.4818e+02  1.0788e+09  
   135  2.4552e+07  1.4819e+02  1.0874e+09  
   136  2.4546e+07  1.4820e+02  1.0960e+09  
   137  2.4540e+07  1.4821e+02  1.1046e+09  
   138  2.4533e+07  1.4822e+02  1.1132e+09  
   139  2.4527e+07  1.4823e+02  1.1218e+09  
   140  2.4521e+07  1.4824e+02  1.1304e+09  
   141  2.4515e+07  1.4825e+02  1.1390e+09  
   142  2.4509e+07  1.4826e+02  1.1476e+09  
   143  2.4502e+07  1.4827e+02  1.1562e+09  
   144  2.4496e+07  1.4828e+02  1.1648e+09  
   145  2.4490e+07  1.4829e+02  1.1734e+09  
   146  2.4484e+07  1.4830e+02  1.1821e+09  
   147  2.4478e+07  1.4830e+02  1.1907e+09  
   148  2.4471e+07  1.4831e+02  1.1993e+09  
   149  2.4465e+07  1.4832e+02  1.2080e+09  
   150  2.4459e+07  1.4833e+02  1.2166e+09  
   151  2.4453e+07  1.4834e+02  1.2253e+09  
   152  2.4447e+07  1.4835e+02  1.2339e+09  
   153  2.4440e+07  1.4836e+02  1.2426e+09  
   154  2.4434e+07  1.4837e+02  1.2512e+09  
   155  2.4428e+07  1.4838e+02  1.2599e+09  
   156  2.4422e+07  1.4839e+02  1.2686e+09  
   157  2.4416e+07  1.4840e+02  1.2773e+09  
   158  2.4409e+07  1.4841e+02  1.2859e+09  
   159  2.4403e+07  1.4842e+02  1.2946e+09  
   160  2.4397e+07  1.4843e+02  1.3033e+09  
   161  2.4391e+07  1.4844e+02  1.3120e+09  
   162  2.4385e+07  1.4845e+02  1.3207e+09  
   163  2.4378e+07  1.4846e+02  1.3294e+09  
   164  2.4372e+07  1.4847e+02  1.3381e+09  
   165  2.4366e+07  1.4848e+02  1.3468e+09  
   166  2.4360e+07  1.4849e+02  1.3555e+09  
   167  2.4354e+07  1.4850e+02  1.3643e+09  
   168  2.4347e+07  1.4851e+02  1.3730e+09  
   169  2.4341e+07  1.4852e+02  1.3817e+09  
   170  2.4335e+07  1.4853e+02  1.3904e+09  
   171  2.4329e+07  1.4854e+02  1.3992e+09  
   172  2.4323e+07  1.4855e+02  1.4079e+09  
   173  2.4316e+07  1.4856e+02  1.4167e+09  
   174  2.4310e+07  1.4857e+02  1.4254e+09  
   175  2.4304e+07  1.4858e+02  1.4342e+09  
   176  2.4298e+07  1.4860e+02  1.4429e+09  
   177  2.4292e+07  1.4861e+02  1.4517e+09  
   178  2.4285e+07  1.4862e+02  1.4605e+09  
   179  2.4279e+07  1.4863e+02  1.4692e+09  
   180  2.4273e+07  1.4864e+02  1.4780e+09  
   181  2.4267e+07  1.4865e+02  1.4868e+09  
   182  2.4261e+07  1.4866e+02  1.4956e+09  
   183  2.4254e+07  1.4867e+02  1.5044e+09  
   184  2.4248e+07  1.4868e+02  1.5132e+09  
   185  2.4242e+07  1.4869e+02  1.5220e+09  
   186  2.4236e+07  1.4870e+02  1.5308e+09  
   187  2.4230e+07  1.4871e+02  1.5396e+09  
   188  2.4223e+07  1.4872e+02  1.5484e+09  
   189  2.4217e+07  1.4873e+02  1.5572e+09  
   190  2.4211e+07  1.4874e+02  1.5661e+09  
   191  2.4205e+07  1.4875e+02  1.5749e+09  
   192  2.4199e+07  1.4876e+02  1.5837e+09  
   193  2.4192e+07  1.4877e+02  1.5926e+09  
   194  2.4186e+07  1.4878e+02  1.6014e+09  
   195  2.4180e+07  1.4879e+02  1.6102e+09  
   196  2.4174e+07  1.4880e+02  1.6191e+09  
   197  2.4168e+07  1.4882e+02  1.6279e+09  
   198  2.4161e+07  1.4883e+02  1.6368e+09  
   199  2.4155e+07  1.4884e+02  1.6457e+09  
   200  2.4149e+07  1.4885e+02  1.6545e+09  
   201  2.4143e+07  1.4886e+02  1.6634e+09  
   202  2.4137e+07  1.4887e+02  1.6723e+09  
   203  2.4130e+07  1.4888e+02  1.6812e+09  
   204  2.4124e+07  1.4889e+02  1.6901e+09  
   205  2.4118e+07  1.4890e+02  1.6990e+09  
   206  2.4112e+07  1.4891e+02  1.7079e+09  
   207  2.4106e+07  1.4892e+02  1.7168e+09  
   208  2.4099e+07  1.4893e+02  1.7257e+09  
   209  2.4093e+07  1.4895e+02  1.7346e+09  
   210  2.4087e+07  1.4896e+02  1.7435e+09  
   211  2.4081e+07  1.4897e+02  1.7524e+09  
   212  2.4075e+07  1.4898e+02  1.7613e+09  
   213  2.4068e+07  1.4899e+02  1.7703e+09  
   214  2.4062e+07  1.4900e+02  1.7792e+09  
   215  2.4056e+07  1.4901e+02  1.7881e+09  
   216  2.4050e+07  1.4902e+02  1.7971e+09  
   217  2.4044e+07  1.4903e+02  1.8060e+09  
   218  2.4037e+07  1.4904e+02  1.8150e+09  
   219  2.4031e+07  1.4906e+02  1.8239e+09  
   220  2.4025e+07  1.4907e+02  1.8329e+09  
   221  2.4019e+07  1.4908e+02  1.8419e+09  
   222  2.4013e+07  1.4909e+02  1.8508e+09  
   223  2.4006e+07  1.4910e+02  1.8598e+09  
   224  2.4000e+07  1.4911e+02  1.8688e+09  
   225  2.3994e+07  1.4912e+02  1.8778e+09  
   226  2.3988e+07  1.4914e+02  1.8868e+09  
   227  2.3982e+07  1.4915e+02  1.8958e+09  
   228  2.3975e+07  1.4916e+02  1.9048e+09  
   229  2.3969e+07  1.4917e+02  1.9138e+09  
   230  2.3963e+07  1.4918e+02  1.9228e+09  
   231  2.3957e+07  1.4919e+02  1.9318e+09  
   232  2.3951e+07  1.4920e+02  1.9408e+09  
   233  2.3944e+07  1.4922e+02  1.9498e+09  
   234  2.3938e+07  1.4923e+02  1.9589e+09  
   235  2.3932e+07  1.4924e+02  1.9679e+09  
   236  2.3926e+07  1.4925e+02  1.9769e+09  
   237  2.3920e+07  1.4926e+02  1.9860e+09  
   238  2.3913e+07  1.4927e+02  1.9950e+09  
   239  2.3907e+07  1.4928e+02  2.0041e+09  
   240  2.3901e+07  1.4930e+02  2.0131e+09  
   241  2.3895e+07  1.4931e+02  2.0222e+09  
   242  2.3889e+07  1.4932e+02  2.0313e+09  
   243  2.3882e+07  1.4933e+02  2.0403e+09  
   244  2.3876e+07  1.4934e+02  2.0494e+09  
   245  2.3870e+07  1.4936e+02  2.0585e+09  
   246  2.3864e+07  1.4937e+02  2.0676e+09  
   247  2.3858e+07  1.4938e+02  2.0767e+09  
   248  2.3851e+07  1.4939e+02  2.0858e+09  
   249  2.3845e+07  1.4940e+02  2.0949e+09  
   250  2.3839e+07  1.4941e+02  2.1040e+09  
   251  2.3833e+07  1.4943e+02  2.1131e+09  
   252  2.3827e+07  1.4944e+02  2.1222e+09  
   253  2.3820e+07  1.4945e+02  2.1313e+09  
   254  2.3814e+07  1.4946e+02  2.1404e+09  
   255  2.3808e+07  1.4947e+02  2.1496e+09  
   256  2.3802e+07  1.4949e+02  2.1587e+09  
   257  2.3796e+07  1.4950e+02  2.1678e+09  
   258  2.3789e+07  1.4951e+02  2.1770e+09  
   259  2.3783e+07  1.4952e+02  2.1861e+09  
   260  2.3777e+07  1.4953e+02  2.1953e+09  
   261  2.3771e+07  1.4955e+02  2.2045e+09  
   262  2.3765e+07  1.4956e+02  2.2136e+09  
   263  2.3759e+07  1.4957e+02  2.2228e+09  
   264  2.3752e+07  1.4958e+02  2.2320e+09  
   265  2.3746e+07  1.4960e+02  2.2411e+09  
   266  2.3740e+07  1.4961e+02  2.2503e+09  
   267  2.3734e+07  1.4962e+02  2.2595e+09  
   268  2.3728e+07  1.4963e+02  2.2687e+09  
   269  2.3721e+07  1.4965e+02  2.2779e+09  
   270  2.3715e+07  1.4966e+02  2.2871e+09  
   271  2.3709e+07  1.4967e+02  2.2963e+09  
   272  2.3703e+07  1.4968e+02  2.3055e+09  
   273  2.3697e+07  1.4970e+02  2.3148e+09  
   274  2.3690e+07  1.4971e+02  2.3240e+09  
   275  2.3684e+07  1.4972e+02  2.3332e+09  
   276  2.3678e+07  1.4973e+02  2.3424e+09  
   277  2.3672e+07  1.4975e+02  2.3517e+09  
   278  2.3666e+07  1.4976e+02  2.3609e+09  
   279  2.3659e+07  1.4977e+02  2.3702e+09  
   280  2.3653e+07  1.4978e+02  2.3794e+09  
   281  2.3647e+07  1.4980e+02  2.3887e+09  
   282  2.3641e+07  1.4981e+02  2.3979e+09  
   283  2.3635e+07  1.4982e+02  2.4072e+09  
   284  2.3628e+07  1.4984e+02  2.4165e+09  
   285  2.3622e+07  1.4985e+02  2.4258e+09  
   286  2.3616e+07  1.4986e+02  2.4351e+09  
   287  2.3610e+07  1.4987e+02  2.4443e+09  
   288  2.3604e+07  1.4989e+02  2.4536e+09  
   289  2.3597e+07  1.4990e+02  2.4629e+09  
   290  2.3591e+07  1.4991e+02  2.4722e+09  
   291  2.3585e+07  1.4993e+02  2.4816e+09  
   292  2.3579e+07  1.4994e+02  2.4909e+09  
   293  2.3573e+07  1.4995e+02  2.5002e+09  
   294  2.3566e+07  1.4997e+02  2.5095e+09  
   295  2.3560e+07  1.4998e+02  2.5188e+09  
   296  2.3554e+07  1.4999e+02  2.5282e+09  
   297  2.3548e+07  1.5000e+02  2.5375e+09  
   298  2.3542e+07  1.5002e+02  2.5469e+09  
   299  2.3535e+07  1.5003e+02  2.5562e+09  
   300  2.3529e+07  1.5004e+02  2.5656e+09  
   301  2.3523e+07  1.5006e+02  2.5749e+09  
   302  2.3517e+07  1.5007e+02  2.5843e+09  
   303  2.3511e+07  1.5008e+02  2.5937e+09  
   304  2.3504e+07  1.5010e+02  2.6030e+09  
   305  2.3498e+07  1.5011e+02  2.6124e+09  
   306  2.3492e+07  1.5013e+02  2.6218e+09  
   307  2.3486e+07  1.5014e+02  2.6312e+09  
   308  2.3480e+07  1.5015e+02  2.6406e+09  
   309  2.3473e+07  1.5017e+02  2.6500e+09  
   310  2.3467e+07  1.5018e+02  2.6594e+09  
   311  2.3461e+07  1.5019e+02  2.6688e+09  
   312  2.3455e+07  1.5021e+02  2.6782e+09  
   313  2.3449e+07  1.5022e+02  2.6877e+09  
   314  2.3442e+07  1.5023e+02  2.6971e+09  
   315  2.3436e+07  1.5025e+02  2.7065e+09  
   316  2.3430e+07  1.5026e+02  2.7160e+09  
   317  2.3424e+07  1.5028e+02  2.7254e+09  
   318  2.3418e+07  1.5029e+02  2.7349e+09  
   319  2.3411e+07  1.5030e+02  2.7443e+09  
   320  2.3405e+07  1.5032e+02  2.7538e+09  
   321  2.3399e+07  1.5033e+02  2.7632e+09  
   322  2.3393e+07  1.5035e+02  2.7727e+09  
   323  2.3387e+07  1.5036e+02  2.7822e+09  
   324  2.3380e+07  1.5037e+02  2.7917e+09  
   325  2.3374e+07  1.5039e+02  2.8012e+09  
   326  2.3368e+07  1.5040e+02  2.8106e+09  
   327  2.3362e+07  1.5042e+02  2.8201e+09  
   328  2.3356e+07  1.5043e+02  2.8296e+09  
   329  2.3349e+07  1.5044e+02  2.8392e+09  
   330  2.3343e+07  1.5046e+02  2.8487e+09  
   331  2.3337e+07  1.5047e+02  2.8582e+09  
   332  2.3331e+07  1.5049e+02  2.8677e+09  
   333  2.3325e+07  1.5050e+02  2.8772e+09  
   334  2.3318e+07  1.5052e+02  2.8868e+09  
   335  2.3312e+07  1.5053e+02  2.8963e+09  
   336  2.3306e+07  1.5054e+02  2.9059e+09  
   337  2.3300e+07  1.5056e+02  2.9154e+09  
   338  2.3294e+07  1.5057e+02  2.9250e+09  
   339  2.3287e+07  1.5059e+02  2.9345e+09  
   340  2.3281e+07  1.5060e+02  2.9441e+09  
   341  2.3275e+07  1.5062e+02  2.9537e+09  
   342  2.3269e+07  1.5063e+02  2.9632e+09  
   343  2.3263e+07  1.5065e+02  2.9728e+09  
   344  2.3256e+07  1.5066e+02  2.9824e+09  
   345  2.3250e+07  1.5068e+02  2.9920e+09  
   346  2.3244e+07  1.5069e+02  3.0016e+09  
   347  2.3238e+07  1.5071e+02  3.0112e+09  
   348  2.3232e+07  1.5072e+02  3.0208e+09  
   349  2.3225e+07  1.5074e+02  3.0304e+09  
   350  2.3219e+07  1.5075e+02  3.0401e+09  
   351  2.3213e+07  1.5077e+02  3.0497e+09  
   352  2.3207e+07  1.5078e+02  3.0593e+09  
   353  2.3201e+07  1.5080e+02  3.0690e+09  
   354  2.3194e+07  1.5081e+02  3.0786e+09  
   355  2.3188e+07  1.5083e+02  3.0883e+09  
   356  2.3182e+07  1.5084e+02  3.0979e+09  
   357  2.3176e+07  1.5086e+02  3.1076e+09  
   358  2.3170e+07  1.5087e+02  3.1172e+09  
   359  2.3163e+07  1.5089e+02  3.1269e+09  
   360  2.3157e+07  1.5090e+02  3.1366e+09  
   361  2.3151e+07  1.5092e+02  3.1463e+09  
   362  2.3145e+07  1.5093e+02  3.1560e+09  
   363  2.3139e+07  1.5095e+02  3.1657e+09  
   364  2.3132e+07  1.5097e+02  3.1753e+09  
   365  2.3126e+07  1.5098e+02  3.1851e+09  
   366  2.3120e+07  1.5100e+02  3.1948e+09  
   367  2.3114e+07  1.5101e+02  3.2045e+09  
   368  2.3108e+07  1.5103e+02  3.2142e+09  
   369  2.3101e+07  1.5104e+02  3.2239e+09  
   370  2.3095e+07  1.5106e+02  3.2337e+09  
   371  2.3089e+07  1.5107e+02  3.2434e+09  
   372  2.3083e+07  1.5109e+02  3.2531e+09  
   373  2.3077e+07  1.5111e+02  3.2629e+09  
   374  2.3070e+07  1.5112e+02  3.2726e+09  
   375  2.3064e+07  1.5114e+02  3.2824e+09  
   376  2.3058e+07  1.5115e+02  3.2922e+09  
   377  2.3052e+07  1.5117e+02  3.3019e+09  
   378  2.3046e+07  1.5119e+02  3.3117e+09  
   379  2.3039e+07  1.5120e+02  3.3215e+09  
   380  2.3033e+07  1.5122e+02  3.3313e+09  
   381  2.3027e+07  1.5124e+02  3.3411e+09  
   382  2.3021e+07  1.5125e+02  3.3509e+09  
   383  2.3015e+07  1.5127e+02  3.3607e+09  
   384  2.3008e+07  1.5128e+02  3.3705e+09  
   385  2.3002e+07  1.5130e+02  3.3803e+09  
   386  2.2996e+07  1.5132e+02  3.3902e+09  
   387  2.2990e+07  1.5133e+02  3.4000e+09  
   388  2.2984e+07  1.5135e+02  3.4098e+09  
   389  2.2978e+07  1.5137e+02  3.4197e+09  
   390  2.2971e+07  1.5138e+02  3.4295e+09  
   391  2.2965e+07  1.5140e+02  3.4394e+09  
   392  2.2959e+07  1.5142e+02  3.4492e+09  
   393  2.2953e+07  1.5143e+02  3.4591e+09  
   394  2.2947e+07  1.5145e+02  3.4689e+09  
   395  2.2940e+07  1.5147e+02  3.4788e+09  
   396  2.2934e+07  1.5148e+02  3.4887e+09  
   397  2.2928e+07  1.5150e+02  3.4986e+09  
   398  2.2922e+07  1.5152e+02  3.5085e+09  
   399  2.2916e+07  1.5153e+02  3.5184e+09  
   400  2.2909e+07  1.5155e+02  3.5283e+09  
   401  2.2903e+07  1.5157e+02  3.5382e+09  
   402  2.2897e+07  1.5159e+02  3.5481e+09  
   403  2.2891e+07  1.5160e+02  3.5580e+09  
   404  2.2885e+07  1.5162e+02  3.5680e+09  
   405  2.2878e+07  1.5164e+02  3.5779e+09  
   406  2.2872e+07  1.5165e+02  3.5878e+09  
   407  2.2866e+07  1.5167e+02  3.5978e+09  
   408  2.2860e+07  1.5169e+02  3.6077e+09  
   409  2.2854e+07  1.5171e+02  3.6177e+09  
   410  2.2847e+07  1.5172e+02  3.6277e+09  
   411  2.2841e+07  1.5174e+02  3.6376e+09  
   412  2.2835e+07  1.5176e+02  3.6476e+09  
   413  2.2829e+07  1.5178e+02  3.6576e+09  
   414  2.2823e+07  1.5179e+02  3.6676e+09  
   415  2.2816e+07  1.5181e+02  3.6776e+09  
   416  2.2810e+07  1.5183e+02  3.6876e+09  
   417  2.2804e+07  1.5185e+02  3.6976e+09  
   418  2.2798e+07  1.5187e+02  3.7076e+09  
   419  2.2792e+07  1.5188e+02  3.7176e+09  
   420  2.2785e+07  1.5190e+02  3.7276e+09  
   421  2.2779e+07  1.5192e+02  3.7377e+09  
   422  2.2773e+07  1.5194e+02  3.7477e+09  
   423  2.2767e+07  1.5196e+02  3.7577e+09  
   424  2.2761e+07  1.5197e+02  3.7678e+09  
   425  2.2754e+07  1.5199e+02  3.7778e+09  
   426  2.2748e+07  1.5201e+02  3.7879e+09  
   427  2.2742e+07  1.5203e+02  3.7980e+09  
   428  2.2736e+07  1.5205e+02  3.8080e+09  
   429  2.2730e+07  1.5207e+02  3.8181e+09  
   430  2.2723e+07  1.5208e+02  3.8282e+09  
   431  2.2717e+07  1.5210e+02  3.8383e+09  
   432  2.2711e+07  1.5212e+02  3.8484e+09  
   433  2.2705e+07  1.5214e+02  3.8585e+09  
   434  2.2699e+07  1.5216e+02  3.8686e+09  
   435  2.2692e+07  1.5218e+02  3.8787e+09  
   436  2.2686e+07  1.5220e+02  3.8888e+09  
   437  2.2680e+07  1.5222e+02  3.8990e+09  
   438  2.2674e+07  1.5223e+02  3.9091e+09  
   439  2.2668e+07  1.5225e+02  3.9192e+09  
   440  2.2661e+07  1.5227e+02  3.9294e+09  
   441  2.2655e+07  1.5229e+02  3.9395e+09  
   442  2.2649e+07  1.5231e+02  3.9497e+09  
   443  2.2643e+07  1.5233e+02  3.9598e+09  
   444  2.2637e+07  1.5235e+02  3.9700e+09  
   445  2.2630e+07  1.5237e+02  3.9802e+09  
   446  2.2624e+07  1.5239e+02  3.9904e+09  
   447  2.2618e+07  1.5241e+02  4.0006e+09  
   448  2.2612e+07  1.5243e+02  4.0108e+09  
   449  2.2606e+07  1.5245e+02  4.0210e+09  
   450  2.2599e+07  1.5247e+02  4.0312e+09  
   451  2.2593e+07  1.5249e+02  4.0414e+09  
   452  2.2587e+07  1.5251e+02  4.0516e+09  
   453  2.2581e+07  1.5253e+02  4.0618e+09  
   454  2.2575e+07  1.5255e+02  4.0721e+09  
   455  2.2568e+07  1.5257e+02  4.0823e+09  
   456  2.2562e+07  1.5259e+02  4.0925e+09  
   457  2.2556e+07  1.5261e+02  4.1028e+09  
   458  2.2550e+07  1.5263e+02  4.1131e+09  
   459  2.2544e+07  1.5265e+02  4.1233e+09  
   460  2.2537e+07  1.5267e+02  4.1336e+09  
   461  2.2531e+07  1.5269e+02  4.1439e+09  
   462  2.2525e+07  1.5271e+02  4.1542e+09  
   463  2.2519e+07  1.5273e+02  4.1644e+09  
   464  2.2513e+07  1.5275e+02  4.1747e+09  
   465  2.2506e+07  1.5277e+02  4.1850e+09  
   466  2.2500e+07  1.5279e+02  4.1954e+09  
   467  2.2494e+07  1.5281e+02  4.2057e+09  
   468  2.2488e+07  1.5283e+02  4.2160e+09  
   469  2.2482e+07  1.5285e+02  4.2263e+09  
   470  2.2475e+07  1.5287e+02  4.2367e+09  
   471  2.2469e+07  1.5289e+02  4.2470e+09  
