# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.6820479629583e+25 kg
# Mean radius       s0 = 2.538869e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.226775
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000544.638942
# J2  =  3511.834264
# J4  =   -33.250442
# J6  =     0.477488
# J8  =    -0.009764
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5382e+07  1.6408e+01  5.5864e+05  
     2  2.5376e+07  3.0125e+01  1.8313e+06  
     3  2.5370e+07  4.1520e+01  3.7916e+06  
     4  2.5364e+07  5.0595e+01  6.3132e+06  
     5  2.5358e+07  5.7352e+01  9.2695e+06  
     6  2.5352e+07  6.1792e+01  1.2534e+07  
     7  2.5345e+07  6.3919e+01  1.5980e+07  
     8  2.5339e+07  6.3928e+01  1.9486e+07  
     9  2.5333e+07  6.3938e+01  2.2995e+07  
    10  2.5327e+07  6.3948e+01  2.6505e+07  
    11  2.5321e+07  6.3958e+01  3.0018e+07  
    12  2.5314e+07  6.3968e+01  3.3533e+07  
    13  2.5308e+07  6.3979e+01  3.7050e+07  
    14  2.5302e+07  6.3989e+01  4.0569e+07  
    15  2.5296e+07  6.3999e+01  4.4091e+07  
    16  2.5290e+07  6.4009e+01  4.7615e+07  
    17  2.5283e+07  6.4019e+01  5.1141e+07  
    18  2.5277e+07  6.4029e+01  5.4669e+07  
    19  2.5271e+07  6.4039e+01  5.8199e+07  
    20  2.5265e+07  6.4050e+01  6.1732e+07  
