# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681592271186607e+25 kg
# Mean radius       s0 = 2.538867e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225488
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000553.791650
# J2  =  3510.349124
# J4  =   -37.524374
# J6  =     0.716004
# J8  =    -0.019898
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5382e+07  2.8366e+01  8.8559e+05  
     2  2.5376e+07  5.4200e+01  3.1437e+06  
     3  2.5370e+07  7.7871e+01  6.7573e+06  
     4  2.5364e+07  9.9378e+01  1.1609e+07  
     5  2.5358e+07  1.1873e+02  1.7582e+07  
     6  2.5351e+07  1.3591e+02  2.4558e+07  
     7  2.5345e+07  1.5094e+02  3.2421e+07  
     8  2.5339e+07  1.6382e+02  4.1052e+07  
     9  2.5333e+07  1.7454e+02  5.0333e+07  
    10  2.5327e+07  1.8311e+02  6.0148e+07  
    11  2.5320e+07  1.8953e+02  7.0378e+07  
    12  2.5314e+07  1.9379e+02  8.0905e+07  
    13  2.5308e+07  1.9591e+02  9.1612e+07  
    14  2.5302e+07  1.9592e+02  1.0238e+08  
    15  2.5296e+07  1.9593e+02  1.1316e+08  
    16  2.5289e+07  1.9594e+02  1.2393e+08  
    17  2.5283e+07  1.9594e+02  1.3472e+08  
    18  2.5277e+07  1.9595e+02  1.4551e+08  
    19  2.5271e+07  1.9596e+02  1.5630e+08  
    20  2.5265e+07  1.9597e+02  1.6710e+08  
    21  2.5259e+07  1.9597e+02  1.7790e+08  
    22  2.5252e+07  1.9598e+02  1.8871e+08  
    23  2.5246e+07  1.9599e+02  1.9952e+08  
    24  2.5240e+07  1.9600e+02  2.1033e+08  
    25  2.5234e+07  1.9601e+02  2.2115e+08  
    26  2.5228e+07  1.9601e+02  2.3198e+08  
    27  2.5221e+07  1.9602e+02  2.4281e+08  
    28  2.5215e+07  1.9603e+02  2.5364e+08  
    29  2.5209e+07  1.9604e+02  2.6448e+08  
    30  2.5203e+07  1.9604e+02  2.7533e+08  
    31  2.5197e+07  1.9605e+02  2.8618e+08  
    32  2.5190e+07  1.9606e+02  2.9703e+08  
    33  2.5184e+07  1.9607e+02  3.0789e+08  
    34  2.5178e+07  1.9608e+02  3.1875e+08  
    35  2.5172e+07  1.9608e+02  3.2962e+08  
    36  2.5166e+07  1.9609e+02  3.4049e+08  
    37  2.5159e+07  1.9610e+02  3.5137e+08  
    38  2.5153e+07  1.9611e+02  3.6225e+08  
    39  2.5147e+07  1.9611e+02  3.7313e+08  
    40  2.5141e+07  1.9612e+02  3.8403e+08  
    41  2.5135e+07  1.9613e+02  3.9492e+08  
    42  2.5128e+07  1.9614e+02  4.0582e+08  
    43  2.5122e+07  1.9615e+02  4.1673e+08  
    44  2.5116e+07  1.9615e+02  4.2764e+08  
    45  2.5110e+07  1.9616e+02  4.3855e+08  
    46  2.5104e+07  1.9617e+02  4.4947e+08  
    47  2.5097e+07  1.9618e+02  4.6039e+08  
    48  2.5091e+07  1.9619e+02  4.7132e+08  
    49  2.5085e+07  1.9619e+02  4.8226e+08  
    50  2.5079e+07  1.9620e+02  4.9320e+08  
    51  2.5073e+07  1.9621e+02  5.0414e+08  
    52  2.5066e+07  1.9622e+02  5.1509e+08  
    53  2.5060e+07  1.9623e+02  5.2604e+08  
    54  2.5054e+07  1.9623e+02  5.3700e+08  
    55  2.5048e+07  1.9624e+02  5.4796e+08  
    56  2.5042e+07  1.9625e+02  5.5893e+08  
    57  2.5035e+07  1.9626e+02  5.6990e+08  
    58  2.5029e+07  1.9627e+02  5.8088e+08  
    59  2.5023e+07  1.9627e+02  5.9186e+08  
    60  2.5017e+07  1.9628e+02  6.0284e+08  
    61  2.5011e+07  1.9629e+02  6.1384e+08  
    62  2.5004e+07  1.9630e+02  6.2483e+08  
    63  2.4998e+07  1.9631e+02  6.3583e+08  
    64  2.4992e+07  1.9631e+02  6.4684e+08  
    65  2.4986e+07  1.9632e+02  6.5785e+08  
    66  2.4980e+07  1.9633e+02  6.6886e+08  
    67  2.4973e+07  1.9634e+02  6.7988e+08  
    68  2.4967e+07  1.9635e+02  6.9091e+08  
    69  2.4961e+07  1.9635e+02  7.0194e+08  
    70  2.4955e+07  1.9636e+02  7.1297e+08  
    71  2.4949e+07  1.9637e+02  7.2401e+08  
    72  2.4942e+07  1.9638e+02  7.3506e+08  
    73  2.4936e+07  1.9639e+02  7.4611e+08  
    74  2.4930e+07  1.9640e+02  7.5716e+08  
    75  2.4924e+07  1.9640e+02  7.6822e+08  
    76  2.4918e+07  1.9641e+02  7.7928e+08  
    77  2.4911e+07  1.9642e+02  7.9035e+08  
    78  2.4905e+07  1.9643e+02  8.0143e+08  
    79  2.4899e+07  1.9644e+02  8.1251e+08  
    80  2.4893e+07  1.9645e+02  8.2359e+08  
    81  2.4887e+07  1.9645e+02  8.3468e+08  
    82  2.4880e+07  1.9646e+02  8.4577e+08  
    83  2.4874e+07  1.9647e+02  8.5687e+08  
    84  2.4868e+07  1.9648e+02  8.6797e+08  
    85  2.4862e+07  1.9649e+02  8.7908e+08  
    86  2.4856e+07  1.9650e+02  8.9019e+08  
    87  2.4849e+07  1.9650e+02  9.0131e+08  
    88  2.4843e+07  1.9651e+02  9.1243e+08  
    89  2.4837e+07  1.9652e+02  9.2356e+08  
