# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   100  2.4769e+07  1.5894e+02  8.4035e+08  
   101  2.4763e+07  1.5896e+02  8.4941e+08  
   102  2.4756e+07  1.5897e+02  8.5848e+08  
   103  2.4750e+07  1.5898e+02  8.6755e+08  
   104  2.4744e+07  1.5899e+02  8.7663e+08  
   105  2.4738e+07  1.5901e+02  8.8571e+08  
   106  2.4732e+07  1.5902e+02  8.9480e+08  
   107  2.4725e+07  1.5903e+02  9.0389e+08  
   108  2.4719e+07  1.5905e+02  9.1299e+08  
   109  2.4713e+07  1.5906e+02  9.2209e+08  
   110  2.4707e+07  1.5907e+02  9.3119e+08  
   111  2.4701e+07  1.5909e+02  9.4030e+08  
   112  2.4694e+07  1.5910e+02  9.4942e+08  
   113  2.4688e+07  1.5911e+02  9.5854e+08  
   114  2.4682e+07  1.5913e+02  9.6766e+08  
   115  2.4676e+07  1.5914e+02  9.7679e+08  
   116  2.4670e+07  1.5915e+02  9.8592e+08  
   117  2.4663e+07  1.5917e+02  9.9506e+08  
   118  2.4657e+07  1.5918e+02  1.0042e+09  
   119  2.4651e+07  1.5919e+02  1.0134e+09  
   120  2.4645e+07  1.5921e+02  1.0225e+09  
   121  2.4639e+07  1.5922e+02  1.0317e+09  
   122  2.4633e+07  1.5923e+02  1.0408e+09  
   123  2.4626e+07  1.5925e+02  1.0500e+09  
   124  2.4620e+07  1.5926e+02  1.0592e+09  
   125  2.4614e+07  1.5927e+02  1.0683e+09  
   126  2.4608e+07  1.5929e+02  1.0775e+09  
   127  2.4602e+07  1.5930e+02  1.0867e+09  
   128  2.4595e+07  1.5931e+02  1.0959e+09  
   129  2.4589e+07  1.5933e+02  1.1051e+09  
   130  2.4583e+07  1.5934e+02  1.1143e+09  
   131  2.4577e+07  1.5935e+02  1.1235e+09  
   132  2.4571e+07  1.5937e+02  1.1327e+09  
   133  2.4564e+07  1.5938e+02  1.1419e+09  
   134  2.4558e+07  1.5939e+02  1.1511e+09  
   135  2.4552e+07  1.5941e+02  1.1603e+09  
   136  2.4546e+07  1.5942e+02  1.1696e+09  
   137  2.4540e+07  1.5944e+02  1.1788e+09  
   138  2.4533e+07  1.5945e+02  1.1880e+09  
   139  2.4527e+07  1.5946e+02  1.1973e+09  
   140  2.4521e+07  1.5948e+02  1.2065e+09  
   141  2.4515e+07  1.5949e+02  1.2158e+09  
   142  2.4509e+07  1.5950e+02  1.2250e+09  
   143  2.4502e+07  1.5952e+02  1.2343e+09  
   144  2.4496e+07  1.5953e+02  1.2436e+09  
   145  2.4490e+07  1.5955e+02  1.2528e+09  
   146  2.4484e+07  1.5956e+02  1.2621e+09  
   147  2.4478e+07  1.5957e+02  1.2714e+09  
   148  2.4471e+07  1.5959e+02  1.2807e+09  
   149  2.4465e+07  1.5960e+02  1.2900e+09  
