# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681198782268711e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.226663
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000510.937028
# J2  =  3511.648568
# J4  =   -30.889968
# J6  =     0.446919
# J8  =    -0.010010
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
     0  2.5389e+07  3.6700e-01  1.0000e+05  
     1  2.5383e+07  1.4206e+01  4.9842e+05  
     2  2.5376e+07  2.6821e+01  1.6204e+06  
     3  2.5370e+07  3.8211e+01  3.3997e+06  
     4  2.5364e+07  4.8378e+01  5.7700e+06  
     5  2.5358e+07  5.7324e+01  8.6648e+06  
     6  2.5352e+07  6.5048e+01  1.2018e+07  
     7  2.5345e+07  7.1553e+01  1.5762e+07  
     8  2.5339e+07  7.6838e+01  1.9832e+07  
     9  2.5333e+07  8.0905e+01  2.4160e+07  
    10  2.5327e+07  8.3755e+01  2.8679e+07  
    11  2.5321e+07  8.5389e+01  3.3324e+07  
    12  2.5314e+07  8.5807e+01  3.8028e+07  
    13  2.5308e+07  8.5815e+01  4.2745e+07  
    14  2.5302e+07  8.5823e+01  4.7465e+07  
    15  2.5296e+07  8.5831e+01  5.2188e+07  
    16  2.5290e+07  8.5839e+01  5.6913e+07  
    17  2.5283e+07  8.5847e+01  6.1640e+07  
    18  2.5277e+07  8.5855e+01  6.6371e+07  
    19  2.5271e+07  8.5862e+01  7.1103e+07  
    20  2.5265e+07  8.5870e+01  7.5839e+07  
    21  2.5259e+07  8.5878e+01  8.0577e+07  
    22  2.5252e+07  8.5886e+01  8.5317e+07  
    23  2.5246e+07  8.5894e+01  9.0061e+07  
    24  2.5240e+07  8.5902e+01  9.4806e+07  
    25  2.5234e+07  8.5910e+01  9.9555e+07  
    26  2.5228e+07  8.5918e+01  1.0431e+08  
    27  2.5221e+07  8.5926e+01  1.0906e+08  
    28  2.5215e+07  8.5934e+01  1.1382e+08  
    29  2.5209e+07  8.5942e+01  1.1857e+08  
    30  2.5203e+07  8.5951e+01  1.2334e+08  
    31  2.5197e+07  8.5959e+01  1.2810e+08  
    32  2.5190e+07  8.5967e+01  1.3287e+08  
    33  2.5184e+07  8.5975e+01  1.3764e+08  
    34  2.5178e+07  8.5983e+01  1.4241e+08  
    35  2.5172e+07  8.5991e+01  1.4718e+08  
    36  2.5166e+07  8.5999e+01  1.5196e+08  
    37  2.5159e+07  8.6008e+01  1.5674e+08  
    38  2.5153e+07  8.6016e+01  1.6152e+08  
    39  2.5147e+07  8.6024e+01  1.6631e+08  
    40  2.5141e+07  8.6032e+01  1.7110e+08  
    41  2.5135e+07  8.6040e+01  1.7589e+08  
    42  2.5128e+07  8.6049e+01  1.8068e+08  
    43  2.5122e+07  8.6057e+01  1.8548e+08  
    44  2.5116e+07  8.6065e+01  1.9027e+08  
    45  2.5110e+07  8.6073e+01  1.9507e+08  
    46  2.5104e+07  8.6082e+01  1.9988e+08  
    47  2.5097e+07  8.6090e+01  2.0469e+08  
    48  2.5091e+07  8.6098e+01  2.0949e+08  
    49  2.5085e+07  8.6107e+01  2.1431e+08  
    50  2.5079e+07  8.6115e+01  2.1912e+08  
    51  2.5073e+07  8.6124e+01  2.2394e+08  
    52  2.5066e+07  8.6132e+01  2.2876e+08  
    53  2.5060e+07  8.6140e+01  2.3358e+08  
    54  2.5054e+07  8.6149e+01  2.3841e+08  
    55  2.5048e+07  8.6157e+01  2.4323e+08  
    56  2.5042e+07  8.6166e+01  2.4806e+08  
    57  2.5035e+07  8.6174e+01  2.5290e+08  
    58  2.5029e+07  8.6183e+01  2.5773e+08  
    59  2.5023e+07  8.6191e+01  2.6257e+08  
    60  2.5017e+07  8.6200e+01  2.6741e+08  
    61  2.5011e+07  8.6208e+01  2.7226e+08  
    62  2.5004e+07  8.6217e+01  2.7710e+08  
    63  2.4998e+07  8.6225e+01  2.8195e+08  
    64  2.4992e+07  8.6234e+01  2.8681e+08  
    65  2.4986e+07  8.6242e+01  2.9166e+08  
    66  2.4980e+07  8.6251e+01  2.9652e+08  
    67  2.4973e+07  8.6260e+01  3.0138e+08  
    68  2.4967e+07  8.6268e+01  3.0624e+08  
    69  2.4961e+07  8.6277e+01  3.1111e+08  
    70  2.4955e+07  8.6286e+01  3.1598e+08  
    71  2.4949e+07  8.6294e+01  3.2085e+08  
    72  2.4942e+07  8.6303e+01  3.2572e+08  
    73  2.4936e+07  8.6312e+01  3.3060e+08  
    74  2.4930e+07  8.6321e+01  3.3548e+08  
    75  2.4924e+07  8.6329e+01  3.4036e+08  
    76  2.4918e+07  8.6338e+01  3.4525e+08  
    77  2.4911e+07  8.6347e+01  3.5013e+08  
    78  2.4905e+07  8.6356e+01  3.5502e+08  
    79  2.4899e+07  8.6364e+01  3.5992e+08  
    80  2.4893e+07  8.6373e+01  3.6481e+08  
    81  2.4887e+07  8.6382e+01  3.6971e+08  
    82  2.4880e+07  8.6391e+01  3.7461e+08  
    83  2.4874e+07  8.6400e+01  3.7952e+08  
    84  2.4868e+07  8.6409e+01  3.8443e+08  
    85  2.4862e+07  8.6418e+01  3.8934e+08  
    86  2.4856e+07  8.6427e+01  3.9425e+08  
    87  2.4849e+07  8.6436e+01  3.9917e+08  
    88  2.4843e+07  8.6445e+01  4.0408e+08  
    89  2.4837e+07  8.6453e+01  4.0900e+08  
    90  2.4831e+07  8.6462e+01  4.1393e+08  
    91  2.4825e+07  8.6472e+01  4.1886e+08  
    92  2.4818e+07  8.6481e+01  4.2379e+08  
    93  2.4812e+07  8.6490e+01  4.2872e+08  
    94  2.4806e+07  8.6499e+01  4.3365e+08  
    95  2.4800e+07  8.6508e+01  4.3859e+08  
    96  2.4794e+07  8.6517e+01  4.4353e+08  
    97  2.4787e+07  8.6526e+01  4.4848e+08  
    98  2.4781e+07  8.6535e+01  4.5342e+08  
    99  2.4775e+07  8.6544e+01  4.5837e+08  
   100  2.4769e+07  8.6553e+01  4.6332e+08  
   101  2.4763e+07  8.6563e+01  4.6828e+08  
   102  2.4756e+07  8.6572e+01  4.7324e+08  
   103  2.4750e+07  8.6581e+01  4.7820e+08  
   104  2.4744e+07  8.6590e+01  4.8316e+08  
   105  2.4738e+07  8.6599e+01  4.8813e+08  
   106  2.4732e+07  8.6609e+01  4.9310e+08  
   107  2.4725e+07  8.6618e+01  4.9807e+08  
   108  2.4719e+07  8.6627e+01  5.0304e+08  
   109  2.4713e+07  8.6637e+01  5.0802e+08  
   110  2.4707e+07  8.6646e+01  5.1300e+08  
   111  2.4701e+07  8.6655e+01  5.1798e+08  
   112  2.4694e+07  8.6665e+01  5.2297e+08  
   113  2.4688e+07  8.6674e+01  5.2796e+08  
   114  2.4682e+07  8.6683e+01  5.3295e+08  
   115  2.4676e+07  8.6693e+01  5.3795e+08  
   116  2.4670e+07  8.6702e+01  5.4295e+08  
   117  2.4664e+07  8.6712e+01  5.4795e+08  
   118  2.4657e+07  8.6721e+01  5.5295e+08  
   119  2.4651e+07  8.6731e+01  5.5796e+08  
   120  2.4645e+07  8.6740e+01  5.6297e+08  
   121  2.4639e+07  8.6750e+01  5.6798e+08  
   122  2.4633e+07  8.6759e+01  5.7299e+08  
   123  2.4626e+07  8.6769e+01  5.7801e+08  
   124  2.4620e+07  8.6779e+01  5.8303e+08  
   125  2.4614e+07  8.6788e+01  5.8806e+08  
   126  2.4608e+07  8.6798e+01  5.9308e+08  
   127  2.4602e+07  8.6807e+01  5.9811e+08  
   128  2.4595e+07  8.6817e+01  6.0315e+08  
   129  2.4589e+07  8.6827e+01  6.0818e+08  
   130  2.4583e+07  8.6836e+01  6.1322e+08  
   131  2.4577e+07  8.6846e+01  6.1826e+08  
   132  2.4571e+07  8.6856e+01  6.2331e+08  
   133  2.4564e+07  8.6866e+01  6.2835e+08  
   134  2.4558e+07  8.6875e+01  6.3340e+08  
   135  2.4552e+07  8.6885e+01  6.3846e+08  
   136  2.4546e+07  8.6895e+01  6.4351e+08  
   137  2.4540e+07  8.6905e+01  6.4857e+08  
   138  2.4533e+07  8.6915e+01  6.5363e+08  
   139  2.4527e+07  8.6925e+01  6.5870e+08  
   140  2.4521e+07  8.6934e+01  6.6377e+08  
   141  2.4515e+07  8.6944e+01  6.6884e+08  
   142  2.4509e+07  8.6954e+01  6.7391e+08  
   143  2.4502e+07  8.6964e+01  6.7899e+08  
   144  2.4496e+07  8.6974e+01  6.8407e+08  
   145  2.4490e+07  8.6984e+01  6.8915e+08  
   146  2.4484e+07  8.6994e+01  6.9424e+08  
   147  2.4478e+07  8.7004e+01  6.9933e+08  
   148  2.4471e+07  8.7014e+01  7.0442e+08  
   149  2.4465e+07  8.7024e+01  7.0951e+08  
   150  2.4459e+07  8.7034e+01  7.1461e+08  
   151  2.4453e+07  8.7045e+01  7.1971e+08  
   152  2.4447e+07  8.7055e+01  7.2482e+08  
   153  2.4440e+07  8.7065e+01  7.2992e+08  
   154  2.4434e+07  8.7075e+01  7.3503e+08  
   155  2.4428e+07  8.7085e+01  7.4015e+08  
   156  2.4422e+07  8.7095e+01  7.4526e+08  
   157  2.4416e+07  8.7106e+01  7.5038e+08  
   158  2.4409e+07  8.7116e+01  7.5550e+08  
   159  2.4403e+07  8.7126e+01  7.6063e+08  
   160  2.4397e+07  8.7136e+01  7.6576e+08  
   161  2.4391e+07  8.7147e+01  7.7089e+08  
